Meet|Level|Date|Results|Meet Url
Freedom Finals 2023|Local|2023-11-05|43|6094
2023 Team WNY Fall Classic|Local|2023-11-05|21|6095
Philadelphia Fall Open and National University Qualifier (NUQ)|Local|2023-11-05|29|6096
Bastrop Harvest Hoist|Local|2023-11-05|23|6097
Cambridge Strength Open & AO Qualifier|Local|2023-11-05|17|6109
2023 Golden West Don Wilson Memorial|Local|2023-11-05|62|6111
PHP Last Chance for Finals|Local|2023-11-04|18|6091
6th Annual Jeannie Strong Championships Hosted by OSUWL (NUQ)|Local|2023-11-04|60|6092
Iowa Elite Championship (NUQ)|Local|2023-11-04|71|6093
Intrepid Last Chance for AO|Local|2023-11-04|9|6104
Hellbender Fall Classic|Local|2023-11-04|10|6105
2023 Collective Classic|Local|2023-11-04|29|6106
Dallas Weightifting Championship|Local|2023-11-04|47|6107
Pull & Pray 2023|Local|2023-11-04|24|6108
2023 Strength Works Year End Weightlifting Competition|Local|2023-11-04|32|6098
November 4th, 2023 Competition|Local|2023-11-04|9|6088
The Good Vibes Lift Fest|Local|2023-11-04|41|6099
November Closed Qualifier|Local|2023-11-04|1|6089
Fall Feast of Iron|Local|2023-11-04|18|6100
The Seminole Classic|Local|2023-11-04|18|6090
Alee Athletics 2023 Fall Open|Local|2023-11-04|41|6101
Semper Fortis Semper Fidelis|Local|2023-11-04|7|6112
Halloween Weightlifting Meet|Local|2023-11-02|9|6114
2023 October online qualifier|Local|2023-11-01|35|6057
Colorado State Championships|Local|2023-10-29|115|6081
2023 Mountain South WSO Championship Series 2 & NM Open State Championship|Local|2023-10-29|89|6082
2023 Monster Smash|Local|2023-10-29|67|6071
Barbells For Boobs|Local|2023-10-29|42|6110
Kilo Classic 2023|Local|2023-10-28|40|6069
Barbell Collective FINAL|Local|2023-10-28|36|6113
HWC Fall Invitational|Local|2023-10-28|4|6103
Heroic Halloween Lift Off|Local|2023-10-28|39|6072
Big Weights for Ryan O|Local|2023-10-28|13|6073
Do More Halloween Classic|Local|2023-10-28|15|6085
Halloween Frights IV|Local|2023-10-28|25|6074
A Nightmare on Windmill Way Part IV|Local|2023-10-28|16|6075
2023 51st Challenge "210"|International|2023-10-28|3|6077
Dia De Los Muertos Lifting Meet|Local|2023-10-28|32|6076
Mountaineer Spooktacular Invite|Local|2023-10-28|6|6120
2023 Alabama WSO Championship|Local|2023-10-28|22|6078
2023 Armor Open|Local|2023-10-28|21|6079
2023 Montana State Weightlifting Championships|Local|2023-10-28|25|6134
SRC/3P Fall Classic|Local|2023-10-28|41|6080
2023 Pan American Games|International|2023-10-24|9|6061
New Jersey WSO State Championship|Local|2023-10-22|75|6065
The Palm Beach Open 2023|Local|2023-10-22|131|6056
Pacific Northwest WSO Championship|Local|2023-10-22|110|6063
Barbell Rodeo 2023|Local|2023-10-21|61|6052
RedZone Gold Coast Weightlifting Meet|Local|2023-10-21|20|6086
2023 Idaho State Weightlifting Champtionships|Local|2023-10-21|31|6053
DIESEL Weightlifting Meet|Local|2023-10-21|5|6054
Glass City Fall Invitational|Local|2023-10-21|10|6066
The Lifting Dead|Local|2023-10-21|27|6067
Kiloween|Local|2023-10-21|20|6068
BARBARIAN BARBELL presents The 9th Annual OctoBar Fest! (NUQ)|Local|2023-10-21|71|6058
Iron Classic|Local|2023-10-21|20|6070
The Gator Weightlifting Fall Open 2023 (NUQ)|Local|2023-10-21|43|6059
BOO BASH|Local|2023-10-21|12|6049
Larry Hannenman Memorial|Local|2023-10-21|12|6083
No Matter What Open 2023|Local|2023-10-21|61|6060
Dia De Los Kilos|Local|2023-10-21|41|6062
2023 SSC Fall Brawl|Local|2023-10-21|29|6051
Carolinas WSO Championships|Local|2023-10-15|206|6044
2023 DMV WSO Championships and Fall Brawl|Local|2023-10-15|70|6048
2023 Mountain South WSO Championship Series 1 & NM Youth/Junior & Masters State Championship|Local|2023-10-15|34|6050
2023 Barndemonium|Local|2023-10-15|30|6040
2023 Tennessee Kentucky WSO Championship|Local|2023-10-14|42|6041
Pumpkin Snatch|Local|2023-10-14|14|6043
2023 White Rose Barbell Open|Local|2023-10-14|38|6045
Diablo Fall Classic|Local|2023-10-14|12|6046
BrewCity Open 9|Local|2023-10-14|68|6047
Jacksonville Weightlifting In-House Throw Down|Local|2023-10-14|20|6039
2023 Legion Open|Local|2023-10-08|23|6033
Caffeine and Kilos|Local|2023-10-07|39|6042
2023 MOC Super Total Weekend|Local|2023-10-07|61|6032
Thunderstruck II|Local|2023-10-07|18|6036
Natural State Showdown|Local|2023-10-07|26|6037
2023 RVA Weightlifting In-House Meet|Local|2023-10-07|21|6038
Mid American Championships|Local|2023-10-01|116|6035
2023 New York State Championships|Local|2023-10-01|149|6027
2023 Pennsylvania-West Virginia WSO Championships|Local|2023-10-01|44|6084
Michigan Weightlifting State Championship|Local|2023-10-01|96|6029
The Jacked Classic 2023|Local|2023-10-01|111|6030
The last ride|Local|2023-09-30|9|6019
2023-Fort-Nash Classic|Local|2023-09-30|26|6031
Stoneage Invitational 2023 - NUQ|Local|2023-09-30|46|6020
Last Chance at Strong|Local|2023-09-30|14|6021
Anchored & Risen Fall Slam|Local|2023-09-30|12|6022
Team Florida September Beast of the Northeast|Local|2023-09-30|8|6034
Bexar Barbell Texas State Qualifier|Local|2023-09-30|40|6023
Fall Face Off 2023|Local|2023-09-30|30|6024
2023 September online qualifier|Local|2023-09-30|20|6026
Tampa Bay Area Classic 10|Local|2023-09-30|68|6028
Low-Key Qualifier|Local|2023-09-30|33|6018
2023 New England WSO Championships|Local|2023-09-24|221|6013
South Georgia Barbell Open|Local|2023-09-23|39|6014
Throwback Throwdown: 1980s Edition|Local|2023-09-23|10|6017
2023 Friendswood Fall Qualifier|Local|2023-09-23|34|6011
2023 OKC Barbell Invitational|Local|2023-09-23|23|6012
2023 IWF World Championships|International|2023-09-17|20|6009
East Coast Gold : Gold Cup|Local|2023-09-17|22|6006
Panhandle Power Fall Interclub Championship|Local|2023-09-17|9|6007
The 2023 Nike North American Open Series 2, powered by Rogue|North American Open Series|2023-09-17|706|6025
Third Annual Holy City Classic|Local|2023-09-16|22|6016
Omaha Classic 2023 (NUQ)|Local|2023-09-16|57|6008
Rad Fit Fest - 90s Team Edition|Local|2023-09-10|8|6002
2023 Kansas State & Open Champhipship|Local|2023-09-10|89|6003
2023 Texas Barbell Fall Showdown|Local|2023-09-09|101|6005
Battle For The Fallen VI|Local|2023-09-09|34|6001
Pumkin Spice Lift Off|Local|2023-09-09|10|6010
GoodVibes Weightlifting Meet 2023|Local|2023-09-02|30|5998
2023 August online qualifier|Local|2023-08-31|17|5995
2023 Allsouth Open|Local|2023-08-27|63|6004
MCB Summer Slam|Local|2023-08-27|8|5994
Private Marble Lift Off|Local|2023-08-26|9|5993
HMB Developmental Meet|Local|2023-08-26|14|5997
BARBELLS N SPRINKLES FALL OPEN '23|Local|2023-08-26|53|6000
EASTSIDE SUMMER BLAST 2023|Local|2023-08-26|34|5991
There will be Lifts!|Local|2023-08-26|12|5992
The Tampa Open|Local|2023-08-20|73|5984
2023 Ohio WSO Championships|Local|2023-08-20|190|5985
Mi5 Midwest Masters|Local|2023-08-20|26|5989
Liftapalooza by Method Weightlifting|Local|2023-08-19|15|5983
MN Sadecki State Championships|Local|2023-08-19|47|5986
2023 Austin , Fit Fest|Local|2023-08-19|57|5987
2023 Big Blue Summer Slam|Local|2023-08-19|10|5988
Money in the Bank 2023|Local|2023-08-13|86|5971
PA PowerFest|Local|2023-08-13|38|5996
Summertime in the LBwC 2023|Local|2023-08-13|104|5976
Champ's Championship|Local|2023-08-13|22|5977
2023 Black & Red Open|Local|2023-08-13|62|5990
2023 Lord of the Lifts Super Total Meet|Local|2023-08-13|37|5980
RYPT Summer Classic 2023|Local|2023-08-12|29|5974
Bexar Brawl|Local|2023-08-12|24|5975
Summer Swolefest|Local|2023-08-12|23|5999
