Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
June Development Meet, 2017-06-09, Open Men's 62 kg, Martin Peralta, 61.5, 90, 95, -100, 115, -130, -130, 95, 115, 210
June Development Meet, 2017-06-09, Open Men's 85 kg, David Holland, 83.2, 84, -87, -87, 108, -112, -112, 84, 108, 192
June Development Meet, 2017-06-09, Open Men's 69 kg, Jeffrey Ye, 69, 75, 78, 80, 85, 90, -93, 80, 90, 170
June Development Meet, 2017-06-09, Open Women's 53 kg, Tori Mai, 52.5, 60, 63, 66, 77, 80, 83, 66, 83, 149
June Development Meet, 2017-06-09, Open Men's 62 kg, Javier Vazquez-Trejo, 62, 63, -65, -65, 82, 86, -87, 63, 86, 149
June Development Meet, 2017-06-09, Open Women's 75 kg, Michelle Gilhousen, 72.5, 57, -60, -60, 68, 71, -74, 57, 71, 128
























