Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Team Chikara Developmental Meet #43, 2015-08-29, Open Men's 85 kg, Dominic Defiesta, 84.82, -105, 105, 110, 131, -134, -134, 110, 131, 241
Team Chikara Developmental Meet #43, 2015-08-29, Open Men's 105 kg, Frank Gutierrez, 101.96, 80, 90, -100, 100, 110, 120, 90, 120, 210
Team Chikara Developmental Meet #43, 2015-08-29, Open Men's 56 kg, Jake Moreno, 55.38, 52, 55, 60, 68, -75, -75, 60, 68, 128
Team Chikara Developmental Meet #43, 2015-08-29, Women's Masters (35-39) 75 kg, Kari Simonson-Borg, 72.37, 35, -40, 40, 45, 52, 55, 40, 55, 95
Team Chikara Developmental Meet #43, 2015-08-29, Women's 16-17 Age Group 69 kg, Rachel Lazerson, 65.06, 41, -43, -43, 48, 49, 50, 41, 50, 91
Team Chikara Developmental Meet #43, 2015-08-29, Open Women's 58 kg, Cassia Streb, 57.14, -32, -32, -32, 40, 42, -44, 0, 42, 0
























