Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Philly Barbell October Max Out, 2020-10-17, Open Men's 102kg, Stephen Scott, 99.2, 130, 135, 140, 145, 153, 0, 140, 153, 293
Philly Barbell October Max Out, 2020-10-17, Open Men's 102kg, Hani Traboulsi, 96.3, 94, 98, 102, 122, 127, 0, 102, 127, 229
Philly Barbell October Max Out, 2020-10-17, Men's 16-17 Age Group 73kg, William Manning, 71.42, 80, 85, 90, 105, 110, 0, 90, 110, 200
Philly Barbell October Max Out, 2020-10-17, Open Women's 64kg, Jessica Saxon, 59.3, 77, 80, 0, 105, 0, 0, 80, 105, 185
Philly Barbell October Max Out, 2020-10-17, Open Women's 71kg, Rebecca Julian, 70.9, 68, 71, 0, 90, 93, 0, 71, 93, 164
Philly Barbell October Max Out, 2020-10-17, Open Women's 87kg, Whitney Bennett, 86.1, 71, 73, 0, 80, 0, 0, 73, 80, 153
Philly Barbell October Max Out, 2020-10-17, Men's 14-15 Age Group 67kg, Colin Manning, 63.45, 64, 66, 70, 74, 78, 82, 70, 82, 152
Philly Barbell October Max Out, 2020-10-17, Open Women's 64kg, Hope Walsh, 61.2, 65, 0, 0, 84, 0, 0, 65, 84, 149
Philly Barbell October Max Out, 2020-10-17, Women's 16-17 Age Group 49kg, Keira Wilson, 48.7, 37, 41, 44, 47, 50, 53, 44, 53, 97





















