Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
QEAC Last Chance Qualifier, 2019-05-22, Women's 16-17 Age Group 76kg, Hannah Aiwohi, 73.55, 70, -73, 73, 90, -95, -95, 73, 90, 163
QEAC Last Chance Qualifier, 2019-05-22, Women's 16-17 Age Group +81kg, Shayla Kanemitsu, 99.2, 50, 53, -57, 65, 70, -75, 53, 70, 123
QEAC Last Chance Qualifier, 2019-05-22, Women's 16-17 Age Group 71kg, Celina Brito, 65.65, 45, 47, -50, 68, 70, 0, 47, 70, 117
QEAC Last Chance Qualifier, 2019-05-22, Women's 13 Under Age Group +64kg, Kiare-Aaron Pursley, 76.8, 35, 37, -39, 40, 0, 0, 37, 40, 77
QEAC Last Chance Qualifier, 2019-05-22, Women's 13 Under Age Group 45kg, Destiny Keomaka-Wood, 41.2, 20, 22, -23, 30, -31, 31, 22, 31, 53
QEAC Last Chance Qualifier, 2019-05-22, Women's 13 Under Age Group 40kg, Khloe-Aaron Pursley, 38.9, -20, 20, -21, 25, -30, -30, 20, 25, 45
























