Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Folsom Open 1-2023, 2023-01-28, Junior Men's 67kg, Josh Noll, 62, 76, -78, 78, 94, 97, -100, 78, 97, 175
Folsom Open 1-2023, 2023-01-28, Men's 14-15 Age Group 55kg, Tyler Brown, 55, 38, -39, 39, 47, 49, 51, 39, 51, 90
Folsom Open 1-2023, 2023-01-28, Men's 14-15 Age Group 67kg, Jackson Irwin, 63.3, 32, 34, 36, 43, 45, 47, 36, 47, 83
Folsom Open 1-2023, 2023-01-28, Men's 14-15 Age Group +89kg, Chris  Abdulmassih, 99, -26, 28, 30, 32, -35, 35, 30, 35, 65


























