Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
IWF Grand Prix, 2013-12-06, Open Men's 62 kg, Darrel Barnes, 61.16, -114, 114, -118, 130, 140, -147, 114, 140, 254
IWF Grand Prix, 2013-12-06, Open Men's 69 kg, Michael Hunt, 64.85, -95, 95, 100, 125, -131, -131, 100, 125, 225
IWF Grand Prix, 2013-12-06, Open Women's 58 kg, Cortney Batchelor, 57.48, -80, 80, 84, 100, 104, -108, 84, 104, 188
IWF Grand Prix, 2013-12-06, Open Women's 53 kg, Jacque Payne, 52.93, 70, -74, -74, 83, 86, -89, 70, 86, 156


























