Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
EASTSIDE IN HOUSE ONLY 2021, 2021-09-18, Open Men's 89kg, Jakob Lawrence, 87.1, 90, -93, -94, 110, -115, -116, 90, 110, 200
EASTSIDE IN HOUSE ONLY 2021, 2021-09-18, Women's Masters (45-49) +87kg, Chelsea Hopkins, 102.4, 58, 61, -63, 78, 81, 84, 61, 84, 145
EASTSIDE IN HOUSE ONLY 2021, 2021-09-18, Open Men's 81kg, Travis Chang, 74.6, 58, 61, -64, 65, -68, 71, 61, 71, 132
EASTSIDE IN HOUSE ONLY 2021, 2021-09-18, Open Women's 81kg, Amanda Wudtke, 78.9, 45, 48, 51, 63, 66, 69, 51, 69, 120
EASTSIDE IN HOUSE ONLY 2021, 2021-09-18, Women's Masters (35-39) 71kg, Meghan Wudtke, 66.4, 43, 45, 48, 58, 61, 63, 48, 63, 111
EASTSIDE IN HOUSE ONLY 2021, 2021-09-18, Women's Masters (45-49) 71kg, Rachael Hostetler, 71, 44, -46, 46, 53, 56, 59, 46, 59, 105
EASTSIDE IN HOUSE ONLY 2021, 2021-09-18, Men's 16-17 Age Group 49kg, Kai Lin, 48.5, 37, 39, 41, 44, -47, 48, 41, 48, 89























