Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Malta International Open, 2020-03-01, Open Women's 81kg, Briana Russo, 80.15, 88, 92, 95, 115, 119, -125, 95, 119, 214
Malta International Open, 2020-03-01, Open Women's 71kg, Morgan Vozobule, 66.38, 85, 89, -92, 105, 109, -113, 89, 109, 198
Malta International Open, 2020-03-01, Open Women's 87kg, Rachel Spring, 81.25, 84, 88, -92, -105, 105, 110, 88, 110, 198
Malta International Open, 2020-03-01, Open Women's 71kg, Anna Rode, 69.12, 84, -87, 87, 106, 110, -114, 87, 110, 197
Malta International Open, 2020-02-29, Open Women's 55kg, Alyssa Ritchey, 53.91, 79, -82, -82, 100, -104, -105, 79, 100, 179

























