Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
VBW State Last Chance Qualifier, 2017-09-30, Women's Masters (50-54) 69 kg, Judith Wilber, 64.3, 38, 41, 46, 57, 59, 64, 46, 64, 110
VBW State Last Chance Qualifier, 2017-09-30, Open Men's 62 kg, Sohail Sharar, 61.8, 35, 40, 44, 51, 56, 61, 44, 61, 105
VBW State Last Chance Qualifier, 2017-09-30, Women's 16-17 Age Group 53 kg, Maggie Liott, 52.5, 27, 29, 31, 40, 42, 44, 31, 44, 75
VBW State Last Chance Qualifier, 2017-09-30, Men's 13 Under Age Group 31 Kg, Vincent DePalo, 27.5, 12, 13, 15, 20, 23, 26, 15, 26, 41


























