Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Team Florida Gainesville In-house qualifier, 2020-02-22, Open Men's 109kg, Christopher Singleton, 106.8, 90, -95, -95, 90, 110, 0, 90, 110, 200
Team Florida Gainesville In-house qualifier, 2020-02-22, Open Men's 67kg, Christopher Follenius, 66.75, 70, 80, 85, 100, 105, 110, 85, 110, 195
Team Florida Gainesville In-house qualifier, 2020-02-22, Open Men's 67kg, Braden Follenius, 66, 60, -65, 65, 75, 80, 85, 65, 85, 150
Team Florida Gainesville In-house qualifier, 2020-02-22, Open Women's 81kg, Bailey Garner, 77.3, 50, 0, 0, 65, 0, 0, 50, 65, 115
Team Florida Gainesville In-house qualifier, 2020-02-22, Open Women's 55kg, Claudia Marina Velasquez, 53, 29, 32, 35, 40, 45, -50, 35, 45, 80

























