Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
2019 49th Challenge 210, 2019-10-27, Open Men's +109kg, Keiser Witte, 143.51, 180, 185, -190, -211, -211, 211, 185, 211, 396
2019 49th Challenge 210, 2019-10-27, Open Women's 71kg, Jillian Hall, 70.72, 90, 93, -96, 110, 114, -117, 93, 114, 207
2019 49th Challenge 210, 2019-10-27, Open Women's 59kg, Taylor Wilkins, 58.71, 88, 91, -93, 111, -116, -116, 91, 111, 202
2019 49th Challenge 210, 2019-10-27, Open Men's 73kg, Alex Lee, 69.13, 0, 0, 0, 0, 0, 0, 0, 0, 0


























