Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
January Weightlifting League Competition, 2017-01-22, Open Men's 105 kg, Douglas Piper, 102.9, 115, 120, -125, 140, 145, 150, 120, 150, 270
January Weightlifting League Competition, 2017-01-22, Open Men's+105 kg, Duprie Moon Sr, 108.3, 105, 108, -111, 131, 135, -139, 108, 135, 243
January Weightlifting League Competition, 2017-01-22, Open Men's 94 kg, Christopher Roth, 90.25, 88, 93, -98, 120, 125, 130, 93, 130, 223
January Weightlifting League Competition, 2017-01-22, Open Men's 85 kg, Grant Lenahan, 83.2, 88, 92, -95, 114, -123, -123, 92, 114, 206
January Weightlifting League Competition, 2017-01-22, Open Men's 94 kg, Dude Poole, 92.55, -87, 88, -92, 107, 111, -114, 88, 111, 199
January Weightlifting League Competition, 2017-01-22, Open Women's 53 kg, Presley Cruz, 52.35, 61, -63, -64, 77, -78, -78, 61, 77, 138
January Weightlifting League Competition, 2017-01-22, Women's 16-17 Age Group +75 kg, Catherine Gibson, 77.8, 52, 55, -58, 64, 67, 70, 55, 70, 125
January Weightlifting League Competition, 2017-01-22, Women's Masters (40-44) +90 kg, Jenny Lutkins, 111.6, -53, -53, -53, -65, 65, -68, 0, 65, 0






















