Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
NMU Spring Meet, 2021-04-21, Junior Men's 102kg, Ryland Shriver, 100.65, 130, 135, 140, 165, 172, -176, 140, 172, 312
NMU Spring Meet, 2021-04-21, Junior Men's +109kg, Maximilian Evanson, 147.2, 110, 120, -125, 140, 155, 165, 120, 165, 285
NMU Spring Meet, 2021-04-21, Junior Men's 89kg, Lander Wells, 88.66, -127, 127, 130, 155, -163, 0, 130, 155, 285
NMU Spring Meet, 2021-04-21, Open Men's 73kg, Lukas Zielke, 69, 98, 103, 106, 135, 141, 0, 106, 141, 247
NMU Spring Meet, 2021-04-21, Open Men's 81kg, Calvin La, 73.1, 90, 95, 100, 120, 125, -130, 100, 125, 225
NMU Spring Meet, 2021-04-21, Junior Women's 64kg, Hannah Alvis, 62.3, 74, -78, -78, 86, 90, 92, 74, 92, 166
NMU Spring Meet, 2021-04-21, Junior Women's 55kg, Ella Holden, 54.31, 60, 68, -73, 80, 85, -92, 68, 85, 153
NMU Spring Meet, 2021-04-21, Junior Women's 55kg, Ella Holden, 54.31, 60, 68, -73, 80, 85, -92, 68, 85, 153






















