Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
OTC Qualifier, 2013-10-04, Open Men's 105 kg, Caine Wilkes, 105, 168, -174, -175, 207, -213, 213, 168, 213, 381
OTC Qualifier, 2013-10-04, Open Men's 105 kg, D'Angelo Osorio, 94, 145, -155, 155, 185, -192, -195, 155, 185, 340
OTC Qualifier, 2013-10-04, Open Men's 105 kg, David Garcia, 105, 150, -155, -155, 190, -195, -195, 150, 190, 340
OTC Qualifier, 2013-10-04, Open Men's 85 kg, Travis Cooper, 85, 145, -150, -150, 180, 186, -192, 145, 186, 331
OTC Qualifier, 2013-10-04, Open Men's 85 kg, John McGovern, 85, 132, -140, 140, 177, 185, -188, 140, 185, 325
OTC Qualifier, 2013-10-04, Open Men's 85 kg, Anthony Pomponio, 85, 143, -148, 148, -173, 176, -180, 148, 176, 324
OTC Qualifier, 2013-10-04, Open Men's 85 kg, Michael Nackoul, 85, 137, 142, 145, 175, -182, -185, 145, 175, 320
OTC Qualifier, 2013-10-04, Open Men's 105 kg, Robert Barbour, 94, -110, 115, -120, -160, 162, 170, 115, 170, 285
OTC Qualifier, 2013-10-04, Open Men's 105 kg, Kyle Ernst, 94, 150, -155, -155, 0, 0, 0, 150, 0, 0
OTC Qualifier, 2013-10-04, Open Men's 105 kg, Donovan Ford, 105, -165, -165, -165, 0, 0, 0, 0, 0, 0




















