Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Liberty County High School Invite, 2013-06-13, Open Women's 48 kg, Mia Hannah, 45, 47, 50, 50, 60, 65, 65, 50, 65, 115
Liberty County High School Invite, 2013-06-13, Women's 16-17 Age Group 75 kg, Brianna Miller, 69.8, 35, 40, 45, 48, 55, 60, 45, 60, 105
Liberty County High School Invite, 2013-06-13, Open Women's 75 kg, Kiera Howell, 71, 37, 40, 40, 47, 50, 55, 40, 55, 95
Liberty County High School Invite, 2013-06-13, Women's 16-17 Age Group 75 kg, Kymberli Payno, 74.88, 33, 35, 40, 48, 55, 55, 40, 55, 95
Liberty County High School Invite, 2013-06-13, Women's 16-17 Age Group 58 kg, Alexis Allen, 54.8, 30, 38, 38, 48, 53, 55, 38, 55, 93
Liberty County High School Invite, 2013-06-13, Open Women's 53 kg, Dominique Pontiflet, 49.2, 30, 35, 40, 40, 45, 50, 40, 50, 90
























