Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
2016 IWF Grand Prix-Russia, 2016-03-22, Open Men's 105 kg, Wesley Kitts, 104.25, 152, 160, 170, 188, 195, -205, 170, 195, 365
2016 IWF Grand Prix-Russia, 2016-03-22, Open Men's+105 kg, Donovan Ford, 108.55, -155, -160, 160, 195, 203, -207, 160, 203, 363
2016 IWF Grand Prix-Russia, 2016-03-22, Open Men's 105 kg, Ethan Harak, 104.74, 152, 157, -161, 188, 192, -203, 157, 192, 349
2016 IWF Grand Prix-Russia, 2016-03-22, Open Men's 94 kg, Angelo Bianco, 85.75, 145, -150, -150, 175, 182, 0, 145, 182, 327
2016 IWF Grand Prix-Russia, 2016-03-22, Open Men's 94 kg, Robert Blackwell, 93.18, -150, 150, -156, 170, -176, -176, 150, 170, 320
2016 IWF Grand Prix-Russia, 2016-03-22, Open Women's 75 kg, Jessica Phillips, 74.54, 87, 91, 94, -109, 110, -112, 94, 110, 204
2016 IWF Grand Prix-Russia, 2016-03-22, Open Women's 75 kg, Rebecca Gerdon, 74.58, 87, 91, -93, 105, 108, 110, 91, 110, 201
2016 IWF Grand Prix-Russia, 2016-03-22, Open Men's+105 kg, Jason Starks, 148.5, -154, -154, -155, -190, 190, -195, 0, 190, 0






















