Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
California State Games, 2012-07-22, Open Women's 53 kg, Virginia English, 52.6, 0, 0, 0, 58, 0, 0, 0, 58, 0
California State Games, 2012-07-22, Open Women's 53 kg, Amy Leung, 52.4, 0, 0, 0, 62, 0, 0, 0, 62, 0
California State Games, 2012-07-22, Open Women's 58 kg, Gloria Espinoza, 56.3, 0, 0, 0, 44, 0, 0, 0, 44, 0
California State Games, 2012-07-22, Open Women's 58 kg, Gillian Mormont, 57.8, 0, 0, 0, 74, 0, 0, 0, 74, 0
California State Games, 2012-07-22, Open Women's 58 kg, Monica Ruelas, 57.7, 0, 0, 0, 70, 0, 0, 0, 70, 0
California State Games, 2012-07-22, Open Women's 63 kg, Christie Hennon, 59.6, 0, 0, 0, 72, 0, 0, 0, 72, 0
California State Games, 2012-07-22, Women's Masters (35-39) 63 kg, Carrie Mildbrand, 62.8, 0, 0, 0, 82, 0, 0, 0, 82, 0
California State Games, 2012-07-22, Open Women's 63 kg, Paige Stone, 59.5, 0, 0, 0, 69, 0, 0, 0, 69, 0
California State Games, 2012-07-22, Open Women's 63 kg, Christine Na, 59.7, 0, 0, 0, 72, 0, 0, 0, 72, 0
California State Games, 2012-07-22, Open Women's 69 kg, Katherine McNeilly, 66.7, 0, 0, 0, 80, 0, 0, 0, 80, 0
California State Games, 2012-07-22, Open Women's 69 kg, Mary Ochoa, 68.7, 0, 0, 0, 81, 0, 0, 0, 81, 0
California State Games, 2012-07-22, Open Women's 69 kg, Katie Crowe, 68, 0, 0, 0, 95, 0, 0, 0, 95, 0
California State Games, 2012-07-22, Open Women's 69 kg, Elizabeth Lynn, 68.5, 0, 0, 0, 58, 0, 0, 0, 58, 0
California State Games, 2012-07-22, Open Women's 69 kg, Julie Adams, 68.8, 0, 0, 0, 83, 0, 0, 0, 83, 0
