Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Falcon Strength Fall 2017 Meet, 2017-11-16, Open Men's 94 kg, Damian Tolbert, 90.4, 77, 80, 83, 111, 114, 117, 83, 117, 200
Falcon Strength Fall 2017 Meet, 2017-11-16, Women's 16-17 Age Group +75 kg, Josepha Kamseu Tiena, 100, 42, 44, 48, 51, 56, 60, 48, 60, 108
Falcon Strength Fall 2017 Meet, 2017-11-16, Women's 16-17 Age Group 58 kg, Hailey Pittman, 53.9, 38, 40, -43, 49, 52, -56, 40, 52, 92



























