Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Last Chance for Youth Nats, 2019-05-26, Open Men's 96kg, Alexander Hawrelok, 95, 0, 102, 109, 134, 0, 0, 109, 134, 243
Last Chance for Youth Nats, 2019-05-26, Open Men's 81kg, Scott Fjelsted, 80.75, 87, 91, 0, 108, 111, 0, 91, 111, 202
Last Chance for Youth Nats, 2019-05-26, Women's 16-17 Age Group 64kg, Sophie Sanden, 62.15, 53, 56, 61, 68, 71, 75, 61, 75, 136
Last Chance for Youth Nats, 2019-05-26, Men's 14-15 Age Group 81kg, Jovian Tupy, 77.8, 34, 36, 39, 47, 50, 54, 39, 54, 93
Last Chance for Youth Nats, 2019-05-26, Women's 14-15 Age Group 59kg, Ashley Greenfield, 55.95, 35, 38, 40, 40, 43, 47, 40, 47, 87
Last Chance for Youth Nats, 2019-05-26, Women's 16-17 Age Group 81kg, Jennifer Lein, 76.35, 0, 0, 0, 60, 0, 0, 0, 60, 0
Last Chance for Youth Nats, 2019-05-26, Women's 16-17 Age Group 40kg, Aiyana Boutin, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0























