Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
BlueWave In-House Meet, 2020-07-11, Open Men's 81kg, Cole Mays, 80.3, 110, 115, 120, 145, 150, 160, 120, 160, 280
BlueWave In-House Meet, 2020-07-11, Open Men's 109kg, Darwyn Walker II, 108.1, 100, 106, -111, 120, 125, 130, 106, 130, 236
BlueWave In-House Meet, 2020-07-11, Open Women's 76kg, Stephanie Knote, 74.4, 75, 78, -80, 90, 95, -100, 78, 95, 173
BlueWave In-House Meet, 2020-07-11, Open Women's 81kg, Jena-Claire Auten, 76, 70, 73, -76, -85, 85, -90, 73, 85, 158
BlueWave In-House Meet, 2020-07-11, Open Women's 59kg, Rachelyn Teague, 58.2, 57, 62, 67, 78, -83, 83, 67, 83, 150
BlueWave In-House Meet, 2020-07-11, Open Women's 64kg, Savanna Anderson, 60.6, -53, -53, 53, 62, 65, -68, 53, 65, 118
BlueWave In-House Meet, 2020-07-11, Open Women's 49kg, Sarah Morris, 48.4, -45, 45, -48, 55, 57, -60, 45, 57, 102























