Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
2019 Cup of Blue Swords, 2019-09-01, Open Men's 89kg, Travis Cooper, 88.55, -141, -141, 141, -177, 179, -183, 141, 179, 320
2019 Cup of Blue Swords, 2019-09-01, Open Women's 81kg, Jessie Stemo, 80.45, 99, 102, -105, -130, 134, -139, 102, 134, 236
2019 Cup of Blue Swords, 2019-09-01, Open Women's 71kg, Meredith Alwine, 70.9, 96, -100, 102, 125, 130, -135, 102, 130, 232
2019 Cup of Blue Swords, 2019-09-01, Open Women's 59kg, Joelle Emery, 58.5, -81, 81, -84, 95, -102, 102, 81, 102, 183
2019 Cup of Blue Swords, 2019-09-01, Open Women's 55kg, Stephanie Lemmen, 54.9, 80, -83, 83, 97, -100, -100, 83, 97, 180
2019 Cup of Blue Swords, 2019-09-01, Open Women's 49kg, Sarah Wright, 48.45, 72, -75, -75, -91, 91, -96, 72, 91, 163
























