Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
2018 OSS Novice/Youth Invitational, 2018-05-05, Open Women's 90 kg, Riley Redden, 79.4, 50, 53, 56, 61, 64, 67, 56, 67, 123
2018 OSS Novice/Youth Invitational, 2018-05-05, Open Women's 58 kg, Brooke Ehlers, 53.6, 43, 46, 49, 57, 60, 63, 49, 63, 112
2018 OSS Novice/Youth Invitational, 2018-05-05, Women's 16-17 Age Group 53 kg, Gabriela Avila, 49, 32, 34, 36, 45, 49, -52, 36, 49, 85
2018 OSS Novice/Youth Invitational, 2018-05-05, Open Men's 85 kg, Thomas Chamberlin, 82, 25, 30, 33, 40, 44, -50, 33, 44, 77
2018 OSS Novice/Youth Invitational, 2018-05-05, Open Women's 63 kg, Tessandra Sage, 62, -25, 25, 28, 40, 43, -48, 28, 43, 71
2018 OSS Novice/Youth Invitational, 2018-05-05, Women's 16-17 Age Group 48 kg, Emely Martinez, 47.1, 27, 28, 29, 32, 34, -37, 29, 34, 63
























