Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Spring Fling/Last Chance, 2021-04-17, Open Men's 102kg, Alex Casey III, 101.8, -133, -133, 133, -172, 172, -173, 133, 172, 305
Spring Fling/Last Chance, 2021-04-17, Open Men's 102kg, Michael Parks, 101.2, 128, 131, 134, 157, 159, -160, 134, 159, 293
Spring Fling/Last Chance, 2021-04-17, Men's Masters (40-44) 96kg, Robby Phillips, 92.7, 70, -75, 75, 90, 95, -100, 75, 95, 170
Spring Fling/Last Chance, 2021-04-17, Open Women's 64kg, Reagan Anderson, 59.2, 71, 74, -76, 88, 92, -93, 74, 92, 166
Spring Fling/Last Chance, 2021-04-17, Men's Masters (50-54) 89kg, Dennis Molloy, 84.7, 55, 58, 62, 75, 80, 85, 62, 85, 147
Spring Fling/Last Chance, 2021-04-17, Men's Masters (40-44) 96kg, Benjamin seegars, 93.4, 50, 60, 62, 75, 80, 85, 62, 85, 147
























