Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Viva Las Vegas, 2018-08-11, Open Men's 81kg, Dallas VanderLaan, 75, -85, 85, 90, 115, 120, -125, 90, 120, 210
Viva Las Vegas, 2018-08-11, Open Men's 89kg, Jason Minor, 87.5, 80, -85, -85, 110, 115, -120, 80, 115, 195
Viva Las Vegas, 2018-08-11, Open Women's +87kg, Lauren Varosi, 141.9, 60, 63, 66, 74, -78, 80, 66, 80, 146
Viva Las Vegas, 2018-08-11, Open Women's 64kg, Karen Avery, 63.2, 48, 51, 54, 56, 62, 70, 54, 70, 124
Viva Las Vegas, 2018-08-11, Women's Masters (35-39) 71kg, kerry petersen, 69.5, 35, 37, -39, 51, -53, 53, 37, 53, 90

























