Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Open Men's 89kg, Edward Niizawa, 82, 112, 122, -130, 135, 140, 143, 122, 143, 265
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Open Men's +109kg, Justin Tabion, 128.6, 91, 100, 107, -135, 140, 145, 107, 145, 252
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Open Men's 96kg, Corben Towery, 93, 92, 101, -107, -128, 128, -137, 101, 128, 229
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Open Men's 81kg, Anthony Lucas, 81, 85, 88, -90, 104, 110, 116, 88, 116, 204
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Open Men's +109kg, Ignacio Bernal, 125, 80, 83, -93, 100, 105, 111, 83, 111, 194
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Open Women's 59kg, Tiffany-Linda Badis, 58.5, 70, 73, -76, 88, -93, 93, 73, 93, 166
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Men's 16-17 Age Group 73kg, Aidan Nguyen, 68, 67, 70, -73, 85, 88, 91, 70, 91, 161
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Open Men's 89kg, Steven Marin, 81.3, 60, -63, 63, 74, 80, 84, 63, 84, 147
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Women's Masters (35-39) 87kg, Megan Selbach-Allen, 84.5, 45, 50, -53, 62, 65, 70, 50, 70, 120
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Open Women's 71kg, Eloise Larose, 65.3, -47, 48, -51, 60, -63, 63, 48, 63, 111
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Open Women's 59kg, Andrea Bersentes, 57.7, 40, 43, 46, 50, 55, 60, 46, 60, 106
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Open Women's 71kg, Jenae Ortega, 68, 38, 41, -45, 52, 55, -63, 41, 55, 96
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Open Women's 64kg, Natalia Montecino, 61.6, 35, 37, -40, 46, 48, 50, 37, 50, 87
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Open Women's 71kg, Jonajandri Jaimes, 67, 35, -37, 37, 42, 45, 47, 37, 47, 84
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Junior Men's 89kg, Vincenzo Mesa, 82.5, 102, 108, 112, -137, -140, -141, 112, 0, 0
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Open Men's 73kg, daniel Perez, 72.6, -60, 60, 62, -68, -68, -79, 62, 0, 0
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Open Men's 89kg, Ely Nez, 89, -83, -83, -84, 93, 98, -102, 0, 98, 0
Friendship Games: XIOS vs Iron Valley, 2022-05-28, Junior Women's 81kg, Genesis Pimentel, 80, -35, -35, -35, 45, 46, 48, 0, 48, 0












