Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Waxman's Gym Developmental Meet 6, 2013-10-12, Open Men's+105 kg, Jeffrey Williams, 150, 128, 132, 135, 145, 150, -155, 135, 150, 285
Waxman's Gym Developmental Meet 6, 2013-10-12, Open Men's 105 kg, Gregory Bommarito, 102.2, 110, 115, 118, 135, -140, 140, 118, 140, 258
Waxman's Gym Developmental Meet 6, 2013-10-12, Open Men's 85 kg, Aaron Rodriguez, 85, 110, 115, 118, 125, 130, 135, 118, 135, 253
Waxman's Gym Developmental Meet 6, 2013-10-12, Open Men's 94 kg, Dexter Kodat, 92.6, 100, 103, 105, 130, 135, -138, 105, 135, 240
Waxman's Gym Developmental Meet 6, 2013-10-12, Open Men's 77 kg, Jason Horikawa, 75, 100, -104, -105, -125, 126, 130, 100, 130, 230
Waxman's Gym Developmental Meet 6, 2013-10-12, Open Men's 77 kg, Grant Kim, 76, 93, 96, 100, 113, 120, 125, 100, 125, 225
Waxman's Gym Developmental Meet 6, 2013-10-12, Open Men's 69 kg, Chris Luciano, 68.8, 93, -96, 96, -115, 120, 125, 96, 125, 221
Waxman's Gym Developmental Meet 6, 2013-10-12, Open Men's 77 kg, Ming Loo, 73, -92, 92, -96, 105, -110, 110, 92, 110, 202






















