Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
September 7th Weightlifting Competition, 2019-09-07, Open Men's 96kg, Adam Heettel, 95.05, 77, 78, -82, 108, 109, 113, 78, 113, 191
September 7th Weightlifting Competition, 2019-09-07, Open Women's 59kg, Brooke Leonelli, 57.3, 65, 68, 70, 82, 86, 91, 70, 91, 161
September 7th Weightlifting Competition, 2019-09-07, Open Women's 76kg, Rachel Weaver, 74.55, 51, 55, -58, 72, 77, 82, 55, 82, 137
September 7th Weightlifting Competition, 2019-09-07, Open Women's 64kg, Maria Blazek, 62.25, 48, 51, 53, 58, 61, 65, 53, 65, 118
September 7th Weightlifting Competition, 2019-09-07, Women's 16-17 Age Group 55kg, Colleen McIntyre, 53.05, -42, 42, 46, 57, 61, -65, 46, 61, 107
September 7th Weightlifting Competition, 2019-09-07, Women's Masters (35-39) 71kg, Rafat Fields, 68.85, 30, 32, 34, 38, 41, 45, 34, 45, 79
September 7th Weightlifting Competition, 2019-09-07, Women's Masters (60-64) 55kg, Janelle Hideg, 53.95, 28, -30, 30, 38, 40, 42, 30, 42, 72
September 7th Weightlifting Competition, 2019-09-07, Women's 13 Under Age Group 49kg, Valentina Glass, 47.45, 25, 27, 29, 36, 38, 40, 29, 40, 69






















