Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
last chance qualifier, 2018-08-11, Open Men's 96kg, Andrew Marquez, 94.7, 120, 125, 130, 150, 160, 170, 130, 170, 300
last chance qualifier, 2018-08-11, Open Men's +109kg, jason brace, 115, 110, 115, 120, 145, 160, 170, 120, 170, 290
last chance qualifier, 2018-08-11, Open Men's 73kg, Jeremiah Miller, 69.3, 95, 99, 102, 118, 122, 127, 102, 127, 229
last chance qualifier, 2018-08-11, Open Men's 81kg, Aaron Ward, 76.9, 78, 82, 85, 95, 100, 105, 85, 105, 190
last chance qualifier, 2018-08-11, Open Men's 73kg, Andrew Scorgie, 72.8, 70, 73, 76, 85, 96, 101, 76, 101, 177

























