Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
DC Weightlifting Inter-Squad and AO Qualifier, 2014-06-21, Open Men's 85 kg, Inwon Choi, 83, 90, 95, 100, -113, 113, 118, 100, 118, 218
DC Weightlifting Inter-Squad and AO Qualifier, 2014-06-21, Open Men's 94 kg, Steve Opiyo, 89.9, 90, 95, 100, 104, 110, 115, 100, 115, 215
DC Weightlifting Inter-Squad and AO Qualifier, 2014-06-21, Open Men's 94 kg, Lance Larson, 87, 90, 95, 100, 108, -114, 114, 100, 114, 214
DC Weightlifting Inter-Squad and AO Qualifier, 2014-06-21, Open Men's 105 kg, Devin McAfee, 98.3, 90, -95, 96, 96, 102, -106, 96, 102, 198
DC Weightlifting Inter-Squad and AO Qualifier, 2014-06-21, Open Men's 77 kg, Ross Paolino, 75.3, 81, 86, -90, 97, -104, 105, 86, 105, 191
DC Weightlifting Inter-Squad and AO Qualifier, 2014-06-21, Women's Masters (35-39) 75 kg, Sara Katz, 70.3, 53, 55, -58, 70, 73, 76, 55, 76, 131
DC Weightlifting Inter-Squad and AO Qualifier, 2014-06-21, Women's Masters (40-44) 58 kg, Airi Maeno, 56.5, 34, 38, -44, -48, 48, 50, 38, 50, 88
DC Weightlifting Inter-Squad and AO Qualifier, 2014-06-21, Women's Masters (45-49) 58 kg, Hellen Papavizas, 56.8, 27, 29, -31, 40, 43, -45, 29, 43, 72






















