Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Thor's Stone Summer Weightlifting Meet, 2017-08-26, Open Men's+105 kg, Luben Ikonomov, 139.5, 70, 75, -80, 90, 96, 102, 75, 102, 177
Thor's Stone Summer Weightlifting Meet, 2017-08-26, Open Men's 85 kg, Darrin Clement, 84.3, 70, 75, -80, 90, 95, -100, 75, 95, 170
Thor's Stone Summer Weightlifting Meet, 2017-08-26, Open Men's 94 kg, Chris Passage, 86.3, 62, 67, 70, 87, 92, 98, 70, 98, 168
Thor's Stone Summer Weightlifting Meet, 2017-08-26, Open Men's+105 kg, Auzimandious Reinhardt, 113.1, 40, 43, 46, 61, 64, 68, 46, 68, 114
Thor's Stone Summer Weightlifting Meet, 2017-08-26, Open Men's 77 kg, Leon Pelletier, 76.6, 46, -50, 50, 55, -59, -60, 50, 55, 105
Thor's Stone Summer Weightlifting Meet, 2017-08-26, Women's Masters (45-49) 53 kg, Christine Cavanaugh, 52.5, 28, -31, 31, 36, -39, 41, 31, 41, 72
Thor's Stone Summer Weightlifting Meet, 2017-08-26, Women's Masters (65-69) 53 kg, Jane Higgins, 50.5, 25, 27, -28, 34, 36, -38, 27, 36, 63























