Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Coffee Winter 2, 2020-03-13, Junior Men's 89kg, Arlis Sutton, 84.4, 92, 97, 102, 115, 124, 134, 102, 134, 236
Coffee Winter 2, 2020-03-13, Men's 14-15 Age Group +89kg, Dane Rish, 112.8, 77, 91, 95, 106, 110, 114, 95, 114, 209
Coffee Winter 2, 2020-03-13, Men's 16-17 Age Group 81kg, Jacob Lindsey, 78.8, 74, 77, 80, 104, 109, 114, 80, 114, 194
Coffee Winter 2, 2020-03-13, Men's 16-17 Age Group 81kg, Justin Thompson, 76, 74, 77, 80, 103, 105, 107, 80, 107, 187
Coffee Winter 2, 2020-03-13, Men's 16-17 Age Group 96kg, Gavin Knight, 96, 77, 80, -84, 101, 105, -110, 80, 105, 185
Coffee Winter 2, 2020-03-13, Men's 16-17 Age Group 81kg, Rhett Robinson, 75.4, 73, 75, 77, 101, 104, -111, 77, 104, 181
Coffee Winter 2, 2020-03-13, Men's 16-17 Age Group 89kg, Thomas Webb, 86, 71, 74, 77, -98, 98, 100, 77, 100, 177
Coffee Winter 2, 2020-03-13, Men's 16-17 Age Group 61kg, Dedrick Flagg, 60.9, 62, 64, 66, 81, 84, 87, 66, 87, 153
Coffee Winter 2, 2020-03-13, Men's 14-15 Age Group 67kg, Micale Smith, 63.4, 61, -64, 64, 75, 78, 80, 64, 80, 144
Coffee Winter 2, 2020-03-13, Men's 14-15 Age Group 55kg, Range Robinson, 50, 47, 50, -53, 62, 65, 68, 50, 68, 118
Coffee Winter 2, 2020-03-13, Women's 16-17 Age Group 71kg, Keilona Bennett, 69.15, 46, 48, -50, 60, 63, 66, 48, 66, 114
Coffee Winter 2, 2020-03-13, Women's 16-17 Age Group 59kg, Kayla Ricketson, 55, 37, 39, -41, 47, 50, 53, 39, 53, 92
Coffee Winter 2, 2020-03-13, Men's 13 Under Age Group 55kg, Bodie Jackson, 52.7, 21, 23, -25, 31, 33, 35, 23, 35, 58
Coffee Winter 2, 2020-03-13, Men's 13 Under Age Group 39kg, Noah Booth, 38, 15, 16, 17, 18, 20, 22, 17, 22, 39
















