Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
2017 La Coupe du Voyageur, 2017-02-12, Open Men's 94 kg, Trevor Bergan, 92.1, 123, 127, 131, -159, 159, 164, 131, 164, 295
2017 La Coupe du Voyageur, 2017-02-12, Open Men's 94 kg, Paul Henriksen, 87.4, 119, 124, 127, 142, 146, 150, 127, 150, 277
2017 La Coupe du Voyageur, 2017-02-12, Open Men's+105 kg, Gabriel Erpelding, 117.45, 96, 100, 103, -126, 126, 131, 103, 131, 234
2017 La Coupe du Voyageur, 2017-02-12, Open Men's 105 kg, Max Kafka, 100.7, 91, -96, 96, 110, 115, -118, 96, 115, 211


























