Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
BX-In House, 2022-05-20, Men's 16-17 Age Group 89kg, Jacob Abney, 88.9, -75, -75, 80, -95, 100, 105, 80, 105, 185
BX-In House, 2022-05-20, Junior Women's 55kg, Madelyn  Koon, 54.9, 48, 50, -52, 67, -70, -70, 50, 67, 117
BX-In House, 2022-05-20, Men's 14-15 Age Group +89kg, Evan Madden, 94.5, 40, 43, 46, 52, 55, 58, 46, 58, 104
BX-In House, 2022-05-20, Men's 13 Under Age Group 61kg, Uriah Savoie, 57.9, 30, 33, 35, -43, 43, 46, 35, 46, 81
BX-In House, 2022-05-20, Women's 13 Under Age Group +64kg, Caroline Major, 71, 20, 23, 25, 29, 33, 36, 25, 36, 61

























