Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
The Factory Classic, 2022-05-07, Open Men's 89kg, Maximilian Califf, 89, 110, 115, 120, 145, 153, -160, 120, 153, 273
The Factory Classic, 2022-05-07, Men's Masters (50-54) +109kg, Eric Shelangoski, 134, 110, 115, -117, 140, 145, 0, 115, 145, 260
The Factory Classic, 2022-05-07, Open Men's 89kg, Isaac Barrett, 89, 105, -110, 110, 140, 145, 145, 110, 145, 255
The Factory Classic, 2022-05-07, Open Women's 64kg, Kayla Reamey, 64, 58, 61, -64, -77, -77, 77, 61, 77, 138
The Factory Classic, 2022-05-07, Men's 14-15 Age Group 81kg, Preston Feuerbach, 81, 40, 45, 50, 65, 70, 75, 50, 75, 125
The Factory Classic, 2022-05-07, Women's Masters (35-39) 81kg, Jasmine Riedemann, 81, -58, -58, 58, -61, -61, 61, 58, 61, 119
The Factory Classic, 2022-05-07, Junior Women's 64kg, Brianna Muchai, 64, 45, -48, 48, 60, -61, -61, 48, 60, 108
The Factory Classic, 2022-05-07, Open Women's 71kg, Caileen Seguin, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0






















