Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Lone Star Yourh Nationals Qualifier, 2012-05-05, Men's 13 Under Age Group 35 Kg, William Moore, 35, 0, 0, 0, 22, 0, 0, 0, 22, 0
Lone Star Yourh Nationals Qualifier, 2012-05-05, Men's 13 Under Age Group +69 Kg, Jon Grimes, 75, 0, 0, 0, 25, 0, 0, 0, 25, 0
Lone Star Yourh Nationals Qualifier, 2012-05-05, Men's 13 Under Age Group 35 Kg, Cody Hoerr, 33.5, 0, 0, 0, 24, 0, 0, 0, 24, 0
Lone Star Yourh Nationals Qualifier, 2012-05-05, Men's 13 Under Age Group 50 Kg, Carson Upfield, 48.9, 0, 0, 0, 31, 0, 0, 0, 31, 0
Lone Star Yourh Nationals Qualifier, 2012-05-05, Men's 13 Under Age Group 50 Kg, Jackson Garrett, 46.8, 0, 0, 0, 40, 0, 0, 0, 40, 0
Lone Star Yourh Nationals Qualifier, 2012-05-05, Men's 13 Under Age Group 44kg, Marshall Mays, 42.8, 0, 0, 0, 45, 0, 0, 0, 45, 0
Lone Star Yourh Nationals Qualifier, 2012-05-05, Men's 14-15 Age Group 56 Kg, Sean Peterson, 52.8, 0, 0, 0, 60, 0, 0, 0, 60, 0
Lone Star Yourh Nationals Qualifier, 2012-05-05, Men's 14-15 Age Group 69 kg, Harrison Owens, 62.7, 0, 0, 0, 63, 0, 0, 0, 63, 0
Lone Star Yourh Nationals Qualifier, 2012-05-05, Men's 14-15 Age Group 69 kg, Austin Goral, 66.9, 0, 0, 0, 63, 0, 0, 0, 63, 0
Lone Star Yourh Nationals Qualifier, 2012-05-05, Open Men's 77 kg, John Bloom, 71.4, 0, 0, 0, 80, 0, 0, 0, 80, 0




















