Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
November Club Meet, 2019-11-17, Open Men's 89kg, Andrew Schaefer, 84.9, -96, 96, 101, 118, 123, 127, 101, 127, 228
November Club Meet, 2019-11-17, Open Men's 96kg, Joseph Federowicz, 91.4, 91, 95, -101, 118, 122, -127, 95, 122, 217
November Club Meet, 2019-11-17, Open Men's 89kg, Derek Carlson, 84.5, 78, 82, -87, 97, 103, 107, 82, 107, 189
November Club Meet, 2019-11-17, Open Men's 102kg, Philip Vigars, 96.2, 65, 69, 73, 88, 92, -97, 73, 92, 165
November Club Meet, 2019-11-17, Open Men's 81kg, Nicholas Hess, 76.2, 67, 71, 75, 72, 76, -80, 75, 76, 151
November Club Meet, 2019-11-17, Open Women's 76kg, Emily Palmerton, 75.9, 60, -63, -63, 80, -83, -83, 60, 80, 140
November Club Meet, 2019-11-17, Women's Masters (35-39) 81kg, Corean Hervey, 76.5, 38, 41, 43, 50, 54, 58, 43, 58, 101
November Club Meet, 2019-11-17, Open Women's 76kg, Jennifer Cristina, 76, 36, 39, 42, 52, 55, 58, 42, 58, 100
November Club Meet, 2019-11-17, Women's Masters (35-39) 76kg, Elizabeth Pfonner, 72.7, -40, 40, 43, 52, 56, -60, 43, 56, 99





















