Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
PWLC Last Chance Arnold Qualifier 2019, 2019-01-25, Open Men's 96kg, Jake Pennese, 95.5, 105, 109, 112, 125, 130, -136, 112, 130, 242
PWLC Last Chance Arnold Qualifier 2019, 2019-01-25, Open Men's 73kg, Robert Marcello, 70.6, -76, -76, 76, -98, 98, -100, 76, 98, 174
PWLC Last Chance Arnold Qualifier 2019, 2019-01-25, Women's Masters (45-49) 71kg, Jennifer Ignizio, 69.8, 40, 43, 43, 52, 57, 64, 43, 64, 107



























