Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Last Master's Qualifier, 2013-01-20, Open Men's 77 kg, Michael Basciano, 75.12, 90, 100, 110, 115, 125, 130, 110, 130, 240
Last Master's Qualifier, 2013-01-20, Open Men's 77 kg, Yoon Sohn, 76.9, 80, 85, 90, 100, 110, 110, 90, 110, 200
Last Master's Qualifier, 2013-01-20, Open Men's 77 kg, Garrett Blanton, 74.51, 65, 70, 75, 95, 100, 105, 75, 105, 180
Last Master's Qualifier, 2013-01-20, Open Men's 69 kg, Richard Goldberg, 68.75, 50, 55, 58, 65, 70, 75, 58, 75, 133
Last Master's Qualifier, 2013-01-20, Women's Masters (50-54) 63 kg, Christine Galvin, 62.64, 42, 47, 50, 65, 70, 73, 50, 73, 123
Last Master's Qualifier, 2013-01-20, Women's Masters (50-54) 53 kg, Suzanne Kim, 52.85, 35, 40, 45, 45, 50, 55, 45, 55, 100
Last Master's Qualifier, 2013-01-20, Open Men's 94 kg, Marc Chasnov, 93.85, 30, 35, 40, 40, 45, 50, 40, 50, 90
Last Master's Qualifier, 2013-01-20, Women's Masters (50-54) 48 kg, Amy Zorn, 47.64, 30, 33, 33, 40, 43, 45, 33, 45, 78






















