Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
HSC In-house Meet, 2019-01-25, Open Men's 102kg, Alfred Grenon, 100, 95, 100, 105, 117, -123, -125, 105, 117, 222
HSC In-house Meet, 2019-01-25, Open Women's 76kg, Gabrielle Miller, 75.6, 61, 65, -70, 75, 80, -86, 65, 80, 145
HSC In-house Meet, 2019-01-25, Open Women's 76kg, Zoe Mojica, 75, 48, 51, 54, 68, -71, 71, 54, 71, 125
HSC In-house Meet, 2019-01-25, Women's Masters (35-39) +87kg, Lynnette Zurek, 141.4, 53, -58, -58, 64, 67, 70, 53, 70, 123


























