Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Colorado Weightlifting Club A.O. Series 3 Qualifier, 2018-08-12, Open Men's 81kg, tyler steele, 79, -80, 85, 90, -105, 105, 110, 90, 110, 200
Colorado Weightlifting Club A.O. Series 3 Qualifier, 2018-08-12, Open Men's 73kg, Keenan Abeyta, 73, 75, 82, 89, 100, 111, -121, 89, 111, 200
Colorado Weightlifting Club A.O. Series 3 Qualifier, 2018-08-12, Open Women's 59kg, Katelyn Kirby, 56, -76, -76, 76, 90, 93, -95, 76, 93, 169
Colorado Weightlifting Club A.O. Series 3 Qualifier, 2018-08-12, Open Women's 59kg, Jessica Young, 59, 61, 63, -65, 84, 87, 90, 63, 90, 153
Colorado Weightlifting Club A.O. Series 3 Qualifier, 2018-08-12, Women's Masters (40-44) 55kg, Melanie Hinkle, 54, 35, 40, 45, 43, 50, 55, 45, 55, 100
Colorado Weightlifting Club A.O. Series 3 Qualifier, 2018-08-12, Women's Masters (40-44) 59kg, Jeanette Hyatt, 58, 28, 30, 32, 35, 37, 40, 32, 40, 72
























