Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Final AO3 Qualifier, 2018-08-11, Open Men's 102kg, Ryne Nease, 97.6, 110, 115, -125, 140, 0, 0, 115, 140, 255
Final AO3 Qualifier, 2018-08-11, Open Men's 81kg, Carlos Rendon, 79.2, 82, -85, 85, 105, 110, -115, 85, 110, 195
Final AO3 Qualifier, 2018-08-11, Open Men's 81kg, Zachary Sonnier, 80.5, 80, 85, -89, 110, -113, -113, 85, 110, 195
Final AO3 Qualifier, 2018-08-11, Open Men's 96kg, Liam Gibbs, 95.5, 83, 88, -93, 106, -112, -112, 88, 106, 194
Final AO3 Qualifier, 2018-08-11, Open Women's 71kg, Carli Curington, 68.1, 50, 53, -57, 63, 67, -72, 53, 67, 120
Final AO3 Qualifier, 2018-08-11, Open Women's 45kg, Amelia DeCoil, 44.1, -30, -30, -30, 40, -43, 43, 0, 43, 0
























