Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Holiday Competition, 2014-12-17, Open Men's+105 kg, Matthew Rue, 135.03, 100, 110, 120, 130, 140, 150, 120, 150, 270
Holiday Competition, 2014-12-17, Open Men's 77 kg, Brian Pitts, 76.9, 99, 103, 103, 115, 119, 119, 103, 119, 222
Holiday Competition, 2014-12-17, Open Men's 85 kg, Brian Zahn, 84.49, 91, 95, 95, 108, 113, 113, 95, 113, 208
Holiday Competition, 2014-12-17, Open Men's 85 kg, Sean Ely, 78.08, 85, 88, 92, 97, 105, 110, 92, 110, 202
Holiday Competition, 2014-12-17, Men's 13 Under Age Group 69 Kg, Jakub Vogel, 66.23, 63, 72, 74, 85, 88, 91, 74, 91, 165
Holiday Competition, 2014-12-17, Open Men's 56 kg, Devin Errico, 55.95, 60, 63, 63, 69, 72, 75, 63, 75, 138
























