Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
South Carolina Open, 2020-11-21, Men's Masters (35-39) 102kg, Jordan Jacobs, 100.3, 108, -112, 112, 135, 140, -145, 112, 140, 252
South Carolina Open, 2020-11-21, Men's Masters (45-49) 109kg, Gregory Vallee, 107.4, -98, 98, -103, 130, 134, 138, 98, 138, 236
South Carolina Open, 2020-11-21, Open Women's 87kg, Rachel Oakley, 83.8, 61, -64, -64, 68, 71, -74, 61, 71, 132



























