Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
406 Barbell Open Weightlifting Meet, 2019-09-14, Open Men's 89kg, Drake Deigert, 88.9, 85, -90, -93, 113, -120, -124, 85, 113, 198
406 Barbell Open Weightlifting Meet, 2019-09-14, Women's 16-17 Age Group 59kg, Karli Taylor, 57.7, 50, -52, 52, 66, -68, -68, 52, 66, 118
406 Barbell Open Weightlifting Meet, 2019-09-14, Women's Masters (40-44) 71kg, Lacey Gonzales, 66.3, 40, 43, 45, 50, 53, 56, 45, 56, 101
406 Barbell Open Weightlifting Meet, 2019-09-14, Open Women's 49kg, Michelle Quinones, 48.4, 41, 43, 44, -51, -51, 52, 44, 52, 96
406 Barbell Open Weightlifting Meet, 2019-09-14, Women's Masters (35-39) 87kg, Toni Wilson, 84, 30, 33, 36, 43, 46, 49, 36, 49, 85
406 Barbell Open Weightlifting Meet, 2019-09-14, Women's 13 Under Age Group 30kg, Bria Reiners, 25.8, 7, 9, 10, 9, 11, 13, 10, 13, 23
406 Barbell Open Weightlifting Meet, 2019-09-14, Men's 13 Under Age Group 36kg, Aiden Wilson, 32.1, 7, 9, 10, 9, 11, 13, 10, 13, 23























