Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
In House Last Chance AO 2 Qualifier, 2021-08-13, Men's Masters (40-44) 102kg, Casey Nelson, 101.8, 85, 90, 95, 100, 107, 113, 95, 113, 208
In House Last Chance AO 2 Qualifier, 2021-08-13, Men's Masters (35-39) 73kg, Anthony Carvalho, 69.7, 63, 67, 0, 0, 92, 0, 67, 92, 159
In House Last Chance AO 2 Qualifier, 2021-08-13, Open Women's 76kg, Addison Riddle, 75.3, 53, 0, 55, 72, 0, 0, 55, 72, 127
In House Last Chance AO 2 Qualifier, 2021-08-13, Men's Masters (70-74) 81kg, Alvin Matthews, 77.3, 44, 46, 48, 55, 58, 60, 48, 60, 108
In House Last Chance AO 2 Qualifier, 2021-08-13, Women's Masters (35-39) 59kg, Rose Peterson, 58.3, 36, 38, 40, 46, 49, 0, 40, 49, 89
In House Last Chance AO 2 Qualifier, 2021-08-13, Women's Masters (55-59) 55kg, Sharon Handel, 54.1, 28, 30, 32, 38, 40, 42, 32, 42, 74
In House Last Chance AO 2 Qualifier, 2021-08-13, Open Men's 89kg, chris kim, 88.9, 0, 92, 0, 0, 0, 0, 92, 0, 0























