Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
March Madness, 2012-03-11, Women's 13 Under Age Group 31kg, Celia Perez, 22.6, 0, 0, 0, 11, 0, 0, 0, 11, 0
March Madness, 2012-03-11, Women's 14-15 Age Group 44 kg, Olivia Perez, 43.2, 0, 0, 0, 41, 0, 0, 0, 41, 0
March Madness, 2012-03-11, Open Women's +75 Kg, Rebecca Skillman, 83.18, 0, 0, 0, 70, 0, 0, 0, 70, 0
March Madness, 2012-03-11, Men's 13 Under Age Group 35 Kg, Ian Estopare, 34, 0, 0, 0, 35, 0, 0, 0, 35, 0
March Madness, 2012-03-11, Men's 13 Under Age Group 44kg, Justin Flickner, 43.2, 0, 0, 0, 45, 0, 0, 0, 45, 0
March Madness, 2012-03-11, Men's 13 Under Age Group 44kg, Celestino Perez, 43, 0, 0, 0, 30, 0, 0, 0, 30, 0
March Madness, 2012-03-11, Open Men's 94 kg, Dillon Hatfield, 87.3, 0, 0, 0, 80, 0, 0, 0, 80, 0
March Madness, 2012-03-11, Open Men's 105 kg, William Carter, 99.9, 0, 0, 0, 136, 0, 0, 0, 136, 0
March Madness, 2012-03-11, Open Men's 94 kg, Garrick Sargento, 88.2, 0, 0, 0, 96, 0, 0, 0, 96, 0
March Madness, 2012-03-11, Open Men's+105 kg, Kyle Pacheco, 110, 0, 0, 0, 115, 0, 0, 0, 115, 0
March Madness, 2012-03-11, Open Men's+105 kg, Harley Ludwig, 126.1, 0, 0, 0, 100, 0, 0, 0, 100, 0
March Madness, 2012-03-11, Open Men's+105 kg, Andrew Nichols, 131.9, 0, 0, 0, 97, 0, 0, 0, 97, 0
March Madness, 2012-03-11, Open Men's 85 kg, Josh Warner, 85, 0, 0, 0, 115, 0, 0, 0, 115, 0
March Madness, 2012-03-11, Open Men's 105 kg, Beau Weissend, 101.2, 0, 0, 0, 120, 0, 0, 0, 120, 0
March Madness, 2012-03-11, Open Men's 105 kg, Matt Flickner, 100, 0, 0, 0, 82, 0, 0, 0, 82, 0















