Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Steel City In-house meet, 2022-10-01, Men's Masters (65-69) +109kg, Nicholas Freedman, 111, 63, 70, 72, 83, 90, 95, 72, 95, 167
Steel City In-house meet, 2022-10-01, Women's Masters (35-39) 87kg, Kelly Beamer, 85, 54, 57, -60, 65, 70, -72, 57, 70, 127
Steel City In-house meet, 2022-10-01, Open Women's 64kg, Joey Lee, 64, 45, 48, -51, 50, 53, -57, 48, 53, 101
Steel City In-house meet, 2022-10-01, Women's 14-15 Age Group 76kg, Liberty paladin, 76, 35, 40, 45, 45, 50, 53, 45, 53, 98
Steel City In-house meet, 2022-10-01, Open Women's 59kg, Rita-Michelle Evans, 59, -35, 35, -37, 45, 48, -50, 35, 48, 83
Steel City In-house meet, 2022-10-01, Women's 13 Under Age Group 45kg, Sadie Bischoff, 45, 30, -35, -35, 35, 42, 45, 30, 45, 75
Steel City In-house meet, 2022-10-01, Men's 13 Under Age Group 55kg, Weston Emmons, 55, 25, 30, -31, 35, 40, -43, 30, 40, 70























