Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
2018 Fortius Dev.1, 2018-07-21, Open Men's 94 kg, Devon Hood, 87.4, 123, -127, 130, 145, 152, 156, 130, 156, 286
2018 Fortius Dev.1, 2018-07-21, Open Men's 94 kg, Jesse Malcomb, 85.9, 90, -96, 97, 110, -115, 0, 97, 110, 207
2018 Fortius Dev.1, 2018-07-21, Open Men's 85 kg, Mark Chan, 79.8, 81, 84, -88, 114, 117, 118, 84, 118, 202
2018 Fortius Dev.1, 2018-07-21, Open Men's 85 kg, Christopher Latham, 81, 85, 90, -95, 100, 105, 112, 90, 112, 202
2018 Fortius Dev.1, 2018-07-21, Open Women's 75 kg, Marion Meunier, 73.7, 55, 59, 62, 70, 75, 78, 62, 78, 140
2018 Fortius Dev.1, 2018-07-21, Open Women's 63 kg, Annjeanine Cuevas, 58.8, 46, 49, -52, 65, 68, 71, 49, 71, 120
2018 Fortius Dev.1, 2018-07-21, Women's Masters (35-39) 69 kg, Andrea Evans, 66.82, 35, 40, 43, 50, 55, 58, 43, 58, 101
2018 Fortius Dev.1, 2018-07-21, Open Women's 90 kg, Annie Koensgen, 78.5, -66, -67, 67, -86, -86, -86, 67, 0, 0






















