Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Peak Classic, 2014-08-15, Open Women's 63 kg, Vanessa McCoy, 62.2, 83, 85, 0, 103, 0, 0, 85, 103, 188
Peak Classic, 2014-08-15, Open Women's +75 Kg, Jerilyn Smith, 104.5, 70, 75, 0, 80, 85, 91, 75, 91, 166
Peak Classic, 2014-08-15, Open Women's 69 kg, Holly Krzeminski, 67.4, 60, 65, 0, 85, 0, 0, 65, 85, 150
Peak Classic, 2014-08-15, Open Women's 53 kg, Breanne Carlson, 52.97, 55, 60, 65, 65, 70, 75, 65, 75, 140
Peak Classic, 2014-08-15, Open Women's 58 kg, Holly O'Dovero, 56.5, 55, 60, 62, 68, 70, 0, 62, 70, 132
Peak Classic, 2014-08-15, Open Women's 53 kg, Leah Reynolds, 52, 33, 35, 37, 44, 47, 49, 37, 49, 86
Peak Classic, 2014-08-15, Women's 13 Under Age Group 44kg, Gabriella Swajanen, 40.45, 23, 25, 0, 33, 0, 0, 25, 33, 58























