Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Waxman's Gym Developmental Meet, 2012-06-23, Open Women's 75 kg, Ashley Weber, 74.9, 0, 0, 0, 85, 0, 0, 0, 85, 0
Waxman's Gym Developmental Meet, 2012-06-23, Open Men's 105 kg, Michael Wu, 94, 0, 0, 0, 106, 0, 0, 0, 106, 0
Waxman's Gym Developmental Meet, 2012-06-23, Open Men's 85 kg, Edmond Mandin-Lee, 78, 0, 0, 0, 116, 0, 0, 0, 116, 0
Waxman's Gym Developmental Meet, 2012-06-23, Open Men's 62 kg, Artin Arsatoorian, 59.2, 0, 0, 0, 77, 0, 0, 0, 77, 0
Waxman's Gym Developmental Meet, 2012-06-23, Open Men's 85 kg, Michael Nassif, 85, 0, 0, 0, 134, 0, 0, 0, 134, 0
Waxman's Gym Developmental Meet, 2012-06-23, Open Men's 85 kg, Corey Egan, 80, 0, 0, 0, 104, 0, 0, 0, 104, 0
Waxman's Gym Developmental Meet, 2012-06-23, Open Men's 85 kg, Ernesto Alonzo, 81.8, 0, 0, 0, 85, 0, 0, 0, 85, 0
Waxman's Gym Developmental Meet, 2012-06-23, Open Men's 94 kg, Gregory Bommarito, 93.6, 0, 0, 0, 120, 0, 0, 0, 120, 0
Waxman's Gym Developmental Meet, 2012-06-23, Open Men's 105 kg, Greg Everett, 104.4, 0, 0, 0, 170, 0, 0, 0, 170, 0
Waxman's Gym Developmental Meet, 2012-06-23, Open Men's 94 kg, Scott Miller, 88.6, 0, 0, 0, 110, 0, 0, 0, 110, 0
Waxman's Gym Developmental Meet, 2012-06-23, Open Men's 105 kg, John Garhammer, 99.2, 0, 0, 0, 107, 0, 0, 0, 107, 0



















