Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
2015 IWF Grand Prix-Russia, 2015-12-12, Open Men's 94 kg, Norik Vardanian, 93.85, 163, 168, 171, 197, -202, 202, 171, 202, 373
2015 IWF Grand Prix-Russia, 2015-12-12, Open Men's+105 kg, Cameron Swart, 135.56, 162, -167, -170, 200, 208, -215, 162, 208, 370
2015 IWF Grand Prix-Russia, 2015-12-12, Open Men's+105 kg, Spencer Moorman, 108.24, 160, -165, -165, 200, -207, -210, 160, 200, 360
2015 IWF Grand Prix-Russia, 2015-12-12, Open Men's 105 kg, Ian Wilson, 104.46, 157, -162, 162, 195, -205, -205, 162, 195, 357
2015 IWF Grand Prix-Russia, 2015-12-12, Open Men's 105 kg, David Garcia, 104.98, -156, -157, 157, -200, 200, -206, 157, 200, 357
2015 IWF Grand Prix-Russia, 2015-12-12, Open Women's +75 Kg, Sarah Robles, 149.4, 115, 120, 124, 143, 150, 154, 124, 154, 278
2015 IWF Grand Prix-Russia, 2015-12-12, Open Women's 75 kg, Deirdre Lenzsch, 74.84, 93, 97, -100, -113, 113, -119, 97, 113, 210
2015 IWF Grand Prix-Russia, 2015-12-12, Open Women's +75 Kg, Angelica Figueroa, 114.04, 86, 89, -92, 115, 120, -125, 89, 120, 209
2015 IWF Grand Prix-Russia, 2015-12-12, Open Women's 75 kg, Samantha Poeth, 74.02, -86, -86, -86, 110, 115, -120, 0, 115, 0





















