Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
2017 Minnesota LWC Qualifier, 2017-01-21, Open Men's 105 kg, Justin Charpenter, 105, 107, 115, -121, -133, 133, -140, 115, 133, 248
2017 Minnesota LWC Qualifier, 2017-01-21, Women's Masters (35-39) 90 kg, Ciara Legato, 77.34, 60, 64, 67, 73, 78, 82, 67, 82, 149
2017 Minnesota LWC Qualifier, 2017-01-21, Men's 14-15 Age Group 69 kg, Arian Tomar, 67.53, 52, 55, -58, 60, 65, -70, 55, 65, 120



























