Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Nolan's 1RM Invitational, 2019-01-13, Open Men's 96kg, Hickey Aviery, 91.2, 105, -110, 112, 140, 145, 151, 112, 151, 263
Nolan's 1RM Invitational, 2019-01-13, Open Men's 102kg, Atip Suttisaragara, 97.65, 93, 98, 102, -115, 115, 120, 102, 120, 222
Nolan's 1RM Invitational, 2019-01-13, Open Men's 102kg, Thomas Wright, 101.85, 91, 95, 99, 111, 116, 120, 99, 120, 219
Nolan's 1RM Invitational, 2019-01-13, Open Men's 67kg, Jacob Cantu, 61.9, 60, 64, 68, -86, 90, 94, 68, 94, 162
Nolan's 1RM Invitational, 2019-01-13, Open Men's 81kg, Luke Alvarez, 77.6, 46, 49, 53, 83, 87, -91, 53, 87, 140
Nolan's 1RM Invitational, 2019-01-13, Open Men's 109kg, Nolan Brethowr, 102.9, 75, -79, -79, -110, -110, -110, 75, 0, 0
























