Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Last Chance QT Sr Nats!, 2019-04-06, Open Men's +109kg, Guillermo Bujanda, 129, 125, 128, 132, 170, 180, 0, 132, 180, 312
Last Chance QT Sr Nats!, 2019-04-06, Open Men's 81kg, Taylor Nox, 77.8, 120, 124, 125, 146, 150, 155, 125, 155, 280
Last Chance QT Sr Nats!, 2019-04-06, Open Women's 76kg, Chelsey Tharp, 74.9, 75, 80, 81, 104, 106, 107, 81, 107, 188
Last Chance QT Sr Nats!, 2019-04-06, Women's 16-17 Age Group 71kg, Katie Andrus, 70.4, 43, 46, 46, 54, 57, 60, 46, 60, 106
Last Chance QT Sr Nats!, 2019-04-06, Women's 13 Under Age Group 49kg, Evee Jefferson, 47.6, 23, 25, 28, 38, 40, 42, 28, 42, 70
Last Chance QT Sr Nats!, 2019-04-06, Men's 13 Under Age Group 49kg, Richard Jefferson, 45.8, 24, 28, 28, 35, 38, 38, 28, 38, 66
Last Chance QT Sr Nats!, 2019-04-06, Women's 13 Under Age Group 30kg, Emery Suarez, 29.9, 8, 10, 12, 14, 16, 18, 12, 18, 30























