Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Relentless Weightlifting, 2016-05-07, Open Men's 77 kg, Christian Sanchez, 75.45, 83, 88, -91, -110, 110, -115, 88, 110, 198
Relentless Weightlifting, 2016-05-07, Open Men's 69 kg, Alexys Jimenez, 64.5, 60, 64, 66, 88, -91, 95, 66, 95, 161
Relentless Weightlifting, 2016-05-07, Open Women's +75 Kg, Tamela Darling, 80.1, 50, -53, 53, 70, 75, -80, 53, 75, 128
Relentless Weightlifting, 2016-05-07, Open Men's 56 kg, Joey Dressler, 56, 50, 53, -56, 60, 63, 68, 53, 68, 121
Relentless Weightlifting, 2016-05-07, Men's 14-15 Age Group 56 Kg, Jacob Dressler, 53.9, 48, -50, 51, 58, 60, 64, 51, 64, 115
Relentless Weightlifting, 2016-05-07, Men's 13 Under Age Group 50 Kg, Samuel Ornelas, 46.8, 32, -35, 35, 44, 47, -50, 35, 47, 82
Relentless Weightlifting, 2016-05-07, Men's 13 Under Age Group 44kg, Everett Jimenez, 44, 23, 26, 28, 33, 36, 39, 28, 39, 67
Relentless Weightlifting, 2016-05-07, Women's 13 Under Age Group 35kg, Ella Dressler, 34.25, 22, 25, -28, 33, 36, -38, 25, 36, 61






















