Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Last Chance University Qualifier, 2014-08-16, Open Men's+105 kg, Austin Hamm, 114.5, 110, 115, 120, 135, 145, 145, 120, 145, 265
Last Chance University Qualifier, 2014-08-16, Open Men's 85 kg, Tony Powers, 81.5, 77, 85, 87, 116, 116, 118, 87, 118, 205
Last Chance University Qualifier, 2014-08-16, Open Women's 63 kg, Sarah Grant, 61.6, 55, 60, 63, 65, 70, 75, 63, 75, 138
Last Chance University Qualifier, 2014-08-16, Open Women's 69 kg, Mindy Simmons, 65.8, 50, 52, 55, 70, 74, 76, 55, 76, 131
Last Chance University Qualifier, 2014-08-16, Open Women's 75 kg, Bridget Kelly, 74.3, 44, 46, 48, 55, 58, 61, 48, 61, 109
Last Chance University Qualifier, 2014-08-16, Open Women's 69 kg, Maribeth Eiken, 66, 42, 45, 47, 45, 48, 50, 47, 50, 97
























