Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Last Chance Masters Qualifier, 2016-04-17, Open Men's 77 kg, Christopher Carter, 76.57, 73, -76, 76, 103, -106, -106, 76, 103, 179
Last Chance Masters Qualifier, 2016-04-17, Women's Masters (35-39) 75 kg, Elizabeth Barnett, 71.94, 45, 50, 55, 60, 65, 70, 55, 70, 125
Last Chance Masters Qualifier, 2016-04-17, Women's Masters (50-54) 58 kg, Rosanne Allen, 53.52, 45, 48, -53, 57, 61, -65, 48, 61, 109
Last Chance Masters Qualifier, 2016-04-17, Open Women's 75 kg, Paige McMahan, 73.68, 35, 40, 43, 50, 55, -60, 43, 55, 98
Last Chance Masters Qualifier, 2016-04-17, Women's Masters (40-44) 53 kg, Margrette Castro, 49.75, 35, -45, -48, 53, 58, -62, 35, 58, 93
Last Chance Masters Qualifier, 2016-04-17, Women's Masters (40-44) +75 kg, Wendy Fidler, 88.3, 20, 23, 28, 25, 30, 35, 28, 35, 63
























