Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Buffalo Barbell Spring club meet, 2018-04-20, Open Men's 85 kg, Joseph Trotto, 83.57, 95, 0, 0, 100, 0, 0, 95, 100, 195
Buffalo Barbell Spring club meet, 2018-04-20, Open Women's +90 kg, Melissa Kurzdorfer, 99.23, -87, 87, -89, 107, -110, -110, 87, 107, 194
Buffalo Barbell Spring club meet, 2018-04-20, Open Men's 69 kg, Drew Stevens, 69, -64, 64, -67, 89, 93, 96, 64, 96, 160
Buffalo Barbell Spring club meet, 2018-04-20, Women's Masters (35-39) 69 kg, Erin Martin, 68.6, -57, 57, -59, 72, -75, -78, 57, 72, 129
Buffalo Barbell Spring club meet, 2018-04-20, Open Women's 63 kg, Emma Weyand, 63, 48, 50, -52, 65, 70, 75, 50, 75, 125

























