Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Saturday-Nitro, 2012-04-14, Women's Masters (35-39) 53 kg, Rebekah Vasey, 52.6, 0, 0, 0, 57, 0, 0, 0, 57, 0
Saturday-Nitro, 2012-04-14, Women's Masters (45-49) 63 kg, Monique Wall, 62.1, 0, 0, 0, 50, 0, 0, 0, 50, 0
Saturday-Nitro, 2012-04-14, Women's Masters (35-39) 63 kg, Crystal Geer, 61.6, 0, 0, 0, 70, 0, 0, 0, 70, 0
Saturday-Nitro, 2012-04-14, Open Men's 69 kg, Jeremy Ford, 68.4, 0, 0, 0, 96, 0, 0, 0, 96, 0
Saturday-Nitro, 2012-04-14, Open Men's 85 kg, Daniel Sidebottom, 78, 0, 0, 0, 113, 0, 0, 0, 113, 0
Saturday-Nitro, 2012-04-14, Open Men's 85 kg, Michael Parra, 81.8, 0, 0, 0, 106, 0, 0, 0, 106, 0
Saturday-Nitro, 2012-04-14, Open Men's 94 kg, Brendon Trayner, 93.6, 0, 0, 0, 112, 0, 0, 0, 112, 0
Saturday-Nitro, 2012-04-14, Open Men's 94 kg, Neal Griffin, 89.8, 0, 0, 0, 116, 0, 0, 0, 116, 0
Saturday-Nitro, 2012-04-14, Open Men's 94 kg, Doug Carter, 89.6, 0, 0, 0, 105, 0, 0, 0, 105, 0
Saturday-Nitro, 2012-04-14, Open Men's+105 kg, Tyler Nachtman, 109, 0, 0, 0, 152, 0, 0, 0, 152, 0




















