Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
Team Chikara Developmental Meet #47, 2016-12-10, Open Men's 105 kg, Kyle Lee, 95.58, 105, 110, 115, 140, 146, 0, 115, 146, 261
Team Chikara Developmental Meet #47, 2016-12-10, Open Men's 105 kg, Ryan Jew, 102.64, 93, 97, 100, 115, 120, 127, 100, 127, 227
Team Chikara Developmental Meet #47, 2016-12-10, Open Men's 94 kg, Jaesup Kim, 90.72, 80, 85, 90, 117, 122, 125, 90, 125, 215
Team Chikara Developmental Meet #47, 2016-12-10, Open Men's 77 kg, Jeanpaul du Plessis, 75.78, 88, 94, 94, 108, 108, 114, 94, 114, 208
Team Chikara Developmental Meet #47, 2016-12-10, Open Men's 94 kg, Andres Serrano, 92.48, 80, 80, 80, 120, 125, 125, 80, 125, 205
Team Chikara Developmental Meet #47, 2016-12-10, Open Men's 105 kg, James Pellegrin, 99.38, 85, 85, 90, 105, 110, 115, 90, 115, 205
Team Chikara Developmental Meet #47, 2016-12-10, Open Women's +75 Kg, Taraneh Nik-Khah, 98.62, 51, 54, 55, 61, 64, 65, 55, 65, 120
Team Chikara Developmental Meet #47, 2016-12-10, Open Women's 69 kg, Nina Raspa, 67.32, 35, 36, 40, 48, 52, 55, 40, 55, 95






















