Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
2018 CMG Developmental Meet, 2018-12-15, Open Men's 67kg, Nicholas Keifer, 65.7, 50, 53, 55, 72, 75, 77, 55, 77, 132
2018 CMG Developmental Meet, 2018-12-15, Open Women's 64kg, Jayme Fraley, 61.8, 50, 54, 57, 63, 66, 68, 57, 68, 125
2018 CMG Developmental Meet, 2018-12-15, Open Women's 71kg, Janie Liang, 65.6, 52, 55, 58, 62, -66, 66, 58, 66, 124
2018 CMG Developmental Meet, 2018-12-15, Men's 14-15 Age Group 67kg, Curt McGovern, 66.3, 47, 50, 52, 65, 68, 70, 52, 70, 122
2018 CMG Developmental Meet, 2018-12-15, Open Women's 64kg, Andrea Sudjapun, 62, 45, 50, -54, 56, 62, -69, 50, 62, 112
2018 CMG Developmental Meet, 2018-12-15, Women's Masters (55-59) 64kg, Jami Willette-Brown, 60, 33, 36, 38, 43, 47, -51, 38, 47, 85
2018 CMG Developmental Meet, 2018-12-15, Men's 13 Under Age Group 44kg, Gabriel Quinn, 40.2, 13, 15, 17, 18, 20, 22, 17, 22, 39























