title,date,location,meet url id,old weight classes
PAN-AMERICAN YOUTH CHAMPIONSHIPS,"Sep 15, 2015","San Luis Potosi, MEX",?event_id=331,true
ASIAN CHAMPIONSHIPS,"Sep 06, 2015","Phuket, THA",?event_id=333,true
2015 AFRICAN GAMES,"Sep 06, 2015","Brazzaville, CGO",?event_id=335,true
2015 COMMONWEALTH YOUTH GAMES,"Sep 05, 2015","Apia, SAM",?event_id=346,true
EUROPEAN YOUTH CHAMPIONSHIPS,"Aug 01, 2015","Landskrona, SWE",?event_id=334,true
AFRICAN JUNIOR CHAMPIONSHIPS,"Jul 27, 2015","Entebbe, UGA",?event_id=329,true
AFRICAN YOUTH CHAMPIONSHIPS,"Jul 27, 2015","Entebbe, UGA",?event_id=330,true
2015 PAN AMERICAN GAMES,"Jul 11, 2015","Toronto, CAN",?event_id=326,true
2015 PACIFIC GAMES,"Jul 06, 2015","Port Moresby, PNG",?event_id=328,true
OCEANIA JUNIOR CHAMPIONSHIPS,"Jul 06, 2015","Port Moresby, PNG",?event_id=324,true
OCEANIA CHAMPIONSHIPS,"Jul 06, 2015","Port Moresby, PNG",?event_id=325,true
OCEANIA YOUTH CHAMPIONSHIPS,"Jul 06, 2015","Port Moresby, PNG",?event_id=327,true
2015 IWF JUNIOR WORLD CHAMPIONSHIPS,"Jun 06, 2015","Wroclaw, POL",?event_id=322,true
PAN-AMERICAN JUNIOR CHAMPIONSHIPS,"May 05, 2015","Cartagena, COL",?event_id=323,true
EUROPEAN CHAMPIONSHIPS,"Apr 10, 2015","Tbilisi, GEO",?event_id=313,true
2015 IWF YOUTH WORLD CHAMPIONSHIPS,"Apr 07, 2015","Lima, PER",?event_id=312,true
3rd ISSF CHAMPIONSHIPS,"Mar 10, 2015","Antalya, TUR",?event_id=340,true
ARAB YOUTH CHAMPIONSHIPS,"Jan 01, 2015","Doha, QAT",?event_id=311,true
17th ASIAN YOUTH CHAMPIONSHIPS,"Jan 01, 2015","Doha, QAT",?event_id=310,true
ARAB JUNIOR CHAMPIONSHIPS,"Jan 01, 2015","Doha, QAT",?event_id=309,true
22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,"Jan 01, 2015","Doha, QAT",?event_id=308,true
4th INTERNATIONAL QATAR CUP,"Dec 14, 2016","Doha, QAT",?event_id=376,true
2016 AFRICAN YOUTH CHAMPIONSHIPS,"Dec 08, 2016","Cairo, EGY",?event_id=373,true
2016 AFRICAN JUNIOR CHAMPIONSHIPS,"Dec 08, 2016","Cairo, EGY",?event_id=372,true
2016 EUROPEAN JUNIOR CHAMPIONSHIPS,"Dec 02, 2016","Eilat, ISR",?event_id=370,true
2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS,"Nov 13, 2016","Merida, MEX",?event_id=367,true
2016 ASIAN JUNIOR CHAMPIONSHIPS,"Nov 08, 2016","Tokyo, JPN",?event_id=368,true
2016 ASIAN YOUTH CHAMPIONSHIPS,"Nov 08, 2016","Tokyo, JPN",?event_id=369,true
2016 JUNIOR COMMONWEALTH CHAMPIONSHIPS,"Oct 25, 2016","Penang, MAS",?event_id=366,true
2016 SENIOR COMMONWEALTH CHAMPIONSHIPS,"Oct 25, 2016","Penang, MAS",?event_id=365,true
2016 IWF YOUTH WORLD CHAMPIONSHIPS,"Oct 19, 2016","Penang, MAS",?event_id=364,true
2016 PAN-AMERICAN YOUTH CHAMPIONSHIPS,"Sep 20, 2016","Guatemala, GUA",?event_id=371,true
EUROPEAN YOUTH CHAMPIONSHIPS,"Sep 10, 2016","Nowy Tomysl, POL",?event_id=363,true
XXXI OLYMPIC GAMES,"Aug 05, 2016","Rio De Janeiro, BRA",?event_id=362,true
2016 IWF JUNIOR WORLD CHAMPIONSHIPS,"Jun 23, 2016","Tbilisi, GEO",?event_id=361,true
2016 PAN-AMERICAN CHAMPIONSHIPS,"Jun 06, 2016","Cartagena, COL",?event_id=360,true
1st INTERNATIONAL FAJR CUP,"May 30, 2016","Tehran, IRI",?event_id=359,true
2016 OCEANIAN YOUTH CHAMPIONSHIPS,"May 23, 2016","Suva, FIJ",?event_id=358,true
2016 OCEANIAN JUNIOR CHAMPIONSHIPS,"May 23, 2016","Suva, FIJ",?event_id=357,true
2016 OCEANIAN CHAMPIONSHIPS,"May 23, 2016","Suva, FIJ",?event_id=356,true
2016 AFRICAN CHAMPIONSHIPS,"May 07, 2016","Yaounde, CMR",?event_id=355,true
PAN-AMERICAN JUNIOR CHAMPIONSHIPS,"Apr 23, 2016","San Salvador, ESA",?event_id=354,true
2016 ASIAN CHAMPIONSHIPS,"Apr 22, 2016","Tashkent, UZB",?event_id=353,true
2016 EUROPEAN CHAMPIONSHIPS,"Apr 08, 2016","Forde, NOR",?event_id=350,true
SOUTH-AMERICAN CHAMPIONSHIPS,"Apr 07, 2016","Rio de Janeiro, BRA",?event_id=352,true
TEST EVENT FOR RIO 2016 OLYMPIC GAMES,"Apr 07, 2016","Rio de Janeiro, BRA",?event_id=351,true
6th RUSSIAN FEDERATION PRESIDENT'S CUP - IWF GRAND PRIX,"Mar 18, 2016","Kazan, RUS",?event_id=349,true
2017 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS,"Dec 12, 2017","Lima, PER",?event_id=410,true
2017 SOUTH AMERICAN YOUTH CHAMPIONSHIPS,"Dec 12, 2017","Lima, PER",?event_id=409,true
I COPA INTERNACIONAL CSLP (Junior),"Dec 12, 2017","Lima, PER",?event_id=408,true
I COPA INTERNACIONAL CSLP (Youth),"Dec 12, 2017","Lima, PER",?event_id=406,true
2017 IWF WORLD CHAMPIONSHIPS,"Nov 27, 2017","Anaheim, USA",?event_id=405,true
SOUTH AMERICAN CHAMPIONSHIPS,"Nov 17, 2017","Santa Marta, COL",?event_id=413,true
18th BOLIVARIAN GAMES,"Nov 17, 2017","Santa Marta, COL",?event_id=411,true
PAN-AMERICAN YOUTH CHAMPIONSHIPS,"Oct 28, 2017","Palmira, COL",?event_id=404,true
EUROPEAN JUNIOR CHAMPIONSHIPS,"Oct 15, 2017","Durres, ALB",?event_id=401,true
AFRICAN YOUTH CHAMPIONSHIPS,"Oct 07, 2017","Entebbe, UGA",?event_id=403,true
AFRICAN JUNIOR CHAMPIONSHIPS,"Oct 07, 2017","Entebbe, UGA",?event_id=402,true
2nd SOUTH AMERICAN YOUTH GAMES,"Oct 04, 2017","Santiago, CHI",?event_id=412,true
EUROPEAN YOUTH CHAMPIONSHIPS,"Sep 23, 2017","Pristina, KOS",?event_id=407,true
5th ASIAN INDOOR & MARTIAL ARTS GAMES,"Sep 17, 2017","Ashgabat, TKM",?event_id=399,true
CENTRAL AMERICAN AND CARIBBEAN CHAMPIONSHIPS,"Sep 17, 2017","Guatemala City, GUA",?event_id=400,true
OCEANIA YOUTH CHAMPIONSHIPS,"Sep 03, 2017","Gold Coast, AUS",?event_id=398,true
OCEANIA JUNIOR CHAMPIONSHIPS,"Sep 03, 2017","Gold Coast, AUS",?event_id=397,true
OCEANIA CHAMPIONSHIPS,"Sep 03, 2017","Gold Coast, AUS",?event_id=396,true
COMMONWEALTH CHAMPIONSHIPS,"Sep 03, 2017","Gold Coast, AUS",?event_id=395,true
COMMONWEALTH JUNIOR CHAMPIONSHIPS,"Sep 03, 2017","Gold Coast, AUS",?event_id=394,true
COMMONWEALTH YOUTH CHAMPIONSHIPS,"Sep 03, 2017","Gold Coast, AUS",?event_id=393,true
29th SEA GAMES,"Aug 28, 2017","Kuala Lumpur, MAS",?event_id=392,true
29th SUMMER UNIVERSIADE,"Aug 19, 2017","Taipei, TPE",?event_id=391,true
PACIFIC CUP INTERNATIONAL,"Aug 05, 2017","Noumea, NCL",?event_id=390,true
ASIAN YOUTH CHAMPIONSHIPS,"Jul 21, 2017","Kathmandu, NEP",?event_id=389,true
ASIAN JUNIOR CHAMPIONSHIPS,"Jul 21, 2017","Kathmandu, NEP",?event_id=388,true
PAN-AMERICAN CHAMPIONSHIPS,"Jul 20, 2017","Miami, USA",?event_id=387,true
AFRICAN CHAMPIONSHIPS,"Jul 10, 2017","Vacoas, MRI",?event_id=386,true
2017 IWF JUNIOR WORLD CHAMPIONSHIPS,"Jun 15, 2017","Tokyo, JPN",?event_id=385,true
4th ISLAMIC SOLIDARITY GAMES,"May 12, 2017","Baku, AZE",?event_id=383,true
PAN-AMERICAN JUNIOR CHAMPIONSHIPS,"May 01, 2017","Guayaquil, ECU",?event_id=382,true
ASIAN CHAMPIONSHIPS,"Apr 21, 2017","Ashgabat, TKM",?event_id=381,true
2017 IWF YOUTH WORLD CHAMPIONSHIPS,"Apr 03, 2017","Bangkok, THA",?event_id=378,true
EUROPEAN CHAMPIONSHIPS,"Apr 01, 2017","Split, CRO",?event_id=380,true
AUSTRALIAN INTERNATIONAL,"Mar 17, 2017","Melbourne, AUS",?event_id=379,true
2nd INTERNATIONAL FAJR CUP,"Mar 09, 2017","Ahvaz, IRI",?event_id=375,true
2018 EUROPEAN JUNIOR CHAMPIONSHIPS,"Oct 20, 2018","Zamosc, POL",?event_id=436,true
YOUTH OLYMPIC GAMES,"Oct 06, 2018","Buenos Aires, ARG",?event_id=440,true
2018 FISU WORLD UNIVERSITY CHAMPIONSHIPS,"Sep 20, 2018","Biala_Podlaska, POL",?event_id=438,true
PAN-AMERICAN JUNIOR CHAMPIONSHIPS,"Sep 05, 2018","Manizales, COL",?event_id=437,true
18th ASIAN GAMES,"Aug 20, 2018","Jakarta, INA",?event_id=435,true
AFRICAN CHAMPIONSHIPS,"Aug 10, 2018","Mahébourg, MRI",?event_id=439,true
2018 EUROPEAN YOUTH CHAMPIONSHIPS,"Jul 22, 2018","Milano, ITA",?event_id=433,true
3rd AFRICAN YOUTH GAMES,"Jul 19, 2018","Algiers, ALG",?event_id=434,true
2018 IWF JUNIOR WORLD CHAMPIONSHIPS,"Jul 07, 2018","Tashkent, UZB",?event_id=432,true
2018 OCEANIAN SENIOR CHAMPIONSHIPS,"Jun 26, 2018","Mont-Dore, NCL",?event_id=429,true
2018 OCEANIAN JUNIOR CHAMPIONSHIPS,"Jun 26, 2018","Mont-Dore, NCL",?event_id=428,true
2018 OCEANIAN YOUTH CHAMPIONSHIPS,"Jun 26, 2018","Mont-Dore, NCL",?event_id=427,true
XVIII MEDITERRANEAN GAMES,"Jun 22, 2018","Tarragona, ESP",?event_id=431,true
2018 PAN-AMERICAN YOUTH CHAMPIONSHIPS,"Jun 03, 2018","Palmira, COL",?event_id=423,true
SOUTH AMERICAN CHAMPIONSHIPS,"May 28, 2018","Cochabamba, BOL",?event_id=426,true
XI SOUTH AMERICAN GAMES,"May 28, 2018","Cochabamba, BOL",?event_id=430,true
"XI INTERNATIONAL TOURNAMENT ""VLADAN MIHAJLOVIC""","May 19, 2018","Indjija, SRB",?event_id=424,true
PAN-AMERICAN CHAMPIONSHIPS,"May 12, 2018","Santo Domingo, DOM",?event_id=425,true
2018 ASIAN YOUTH CHAMPIONSHIPS,"Apr 20, 2018","Urgench, UZB",?event_id=420,true
2018 ASIAN JUNIOR CHAMPIONSHIPS,"Apr 20, 2018","Urgench, UZB",?event_id=421,true
XXI COMMONWEALTH GAMES,"Apr 04, 2018","Gold Coast, AUS",?event_id=419,true
EUROPEAN CHAMPIONSHIPS,"Mar 26, 2018","Bucharest, ROU",?event_id=418,true
2018 AFRICAN JUNIOR CHAMPIONSHIPS,"Mar 23, 2018","Cairo, EGY",?event_id=417,true
2018 AFRICAN YOUTH CHAMPIONSHIPS,"Mar 23, 2018","Cairo, EGY",?event_id=416,true
3rd INTERNATIONAL FAJR CUP,"Mar 06, 2018","Ahvaz, IRI",?event_id=415,true
