title,date,location,meet url id,old weight classes
2009 COMMONWEALTH JUNIOR CHAMPIONSHIPS,"Oct 19, 2009","Penang, MAS",?event_id=55,true
EUROPEAN U23 CHAMPIONSHIPS,"Oct 11, 2009","Wladyslawowo, POL",?event_id=53,true
2009 PACIFIC MINI GAMES,"Sep 29, 2009","Rarotonga, COK",?event_id=59,true
2nd MONIQUE MAURICE CHALLENGE,"Sep 26, 2009","Villeneuve-Loubet, FRA",?event_id=50,true
EUROPEAN YOUTH CHAMPIONSHIPS,"Sep 06, 2009","Eilat, ISR",?event_id=60,true
XXVII LAUGARICIO CUP,"Sep 04, 2009","Trencin, SVK",?event_id=52,true
"AFRICAN SENIOR (20th MEN, 9th WOMEN) CHAMPIONSHIPS","Jul 31, 2009","Kampala, UGA",?event_id=47,true
"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS","Jul 31, 2009","Kampala, UGA",?event_id=45,true
"AFRICAN JUNIOR (15th MEN, 10th WOMEN) CHAMPIONSHIPS","Jul 31, 2009","KAMPALA, UGA",?event_id=46,true
EUROPEAN JUNIOR CHAMPIONSHIPS,"Jul 25, 2009","Landskrona, SWE",?event_id=70,true
9th SENIOR GCC CHAMPIONSHIPS,"Jul 01, 2009","Fujairah, UAE",?event_id=68,true
8th JUNIOR GCC CHAMPIONSHIPS,"Jul 01, 2009","Fujairah, UAE",?event_id=66,true
MEDITERRANEAN GAMES,"Jun 26, 2009","Pescara, ITA",?event_id=44,true
35th MEN's and 15th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,"Jun 14, 2009","Bucharest, ROU",?event_id=25,true
2009 PAN-AMERICAN CHAMPIONSHIPS,"Jun 03, 2009","CHICAGO, USA",?event_id=24,true
6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,"May 21, 2009","Lochen, AUT",?event_id=51,true
2009 IWF YOUTH WORLD CHAMPIONSHIPS,"May 19, 2009","Chiangmai, THA",?event_id=23,true
OCEANIA & SOUTH PACIFIC JUNIOR CHAMPIONSHIPS AND ARAFURA GAMES,"May 12, 2009","Darwin, AUS",?event_id=57,true
OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,"May 12, 2009","Darwin, AUS",?event_id=56,true
21st ASIAN SENIOR WOMEN'S 40th ASIAN SENIOR MEN'S CHAMPIONSHIPS,"May 09, 2009","Taldykorgan, KAZ",?event_id=43,true
31st EUROPEAN SMALL NATIONS TOURNAMENT,"May 01, 2009","Malta, MLT",?event_id=49,true
European Championships,"Apr 04, 2009","Bucharest, ROU",?event_id=48,true
37th EUROPEAN UNION CHAMPIONSHIPS,"Mar 18, 2009","Ciechanow, POL",?event_id=42,true
IWF CONTINENTAL CLUBS GRAND PRIX,"Dec 11, 2010","Penang, MAS",?event_id=124,true
EUROPEAN JUNIOR CHAMPIONSHIPS,"Nov 20, 2010","Limassol, CYP",?event_id=127,true
